method,policy_seed,primary_failure_class,count,failed_episode_denominator,rate
COUNT_EVENTS_PBRS,227,ONE_OBJECT_ONLY_TIMEOUT,128,512,0.25
COUNT_EVENTS_PBRS,227,TRANSPORT_STALL,384,512,0.75
COUNT_EVENTS_PBRS,233,NO_ACQUIRE_PROGRESS,256,512,0.5
COUNT_EVENTS_PBRS,233,ONE_OBJECT_ONLY_TIMEOUT,128,512,0.25
COUNT_EVENTS_PBRS,233,TRANSPORT_STALL,128,512,0.25
COUNT_EVENTS_PBRS,239,ONE_OBJECT_ONLY_TIMEOUT,128,512,0.25
COUNT_EVENTS_PBRS,239,TRANSPORT_STALL,384,512,0.75
COUNT_PBRS,223,ONE_OBJECT_ONLY_TIMEOUT,128,512,0.25
COUNT_PBRS,223,TRANSPORT_STALL,384,512,0.75
COUNT_PBRS,227,NO_ACQUIRE_PROGRESS,64,512,0.125
COUNT_PBRS,227,ONE_OBJECT_ONLY_TIMEOUT,64,512,0.125
COUNT_PBRS,227,TRANSPORT_STALL,384,512,0.75
GEOM_COUNT_EVENTS_PBRS,211,INVALID_ACTION_LOOP,6,149,0.040268456375838924
GEOM_COUNT_EVENTS_PBRS,211,ONE_OBJECT_ONLY_TIMEOUT,56,149,0.37583892617449666
GEOM_COUNT_EVENTS_PBRS,211,TRANSPORT_STALL,87,149,0.5838926174496645
GEOM_COUNT_EVENTS_PBRS,223,ONE_OBJECT_ONLY_TIMEOUT,9,67,0.13432835820895522
GEOM_COUNT_EVENTS_PBRS,223,TRANSPORT_STALL,58,67,0.8656716417910447
GEOM_COUNT_EVENTS_PBRS,227,INVALID_ACTION_LOOP,2,3,0.6666666666666666
GEOM_COUNT_EVENTS_PBRS,227,ONE_OBJECT_ONLY_TIMEOUT,1,3,0.3333333333333333
GEOM_COUNT_EVENTS_PBRS,233,ONE_OBJECT_ONLY_TIMEOUT,33,102,0.3235294117647059
GEOM_COUNT_EVENTS_PBRS,233,TRANSPORT_STALL,69,102,0.6764705882352942
GEOM_COUNT_EVENTS_PBRS,239,ONE_OBJECT_ONLY_TIMEOUT,183,211,0.8672985781990521
GEOM_COUNT_EVENTS_PBRS,239,TRANSPORT_STALL,28,211,0.13270142180094788
GRAPH_COST_PBRS,211,ONE_OBJECT_ONLY_TIMEOUT,61,65,0.9384615384615385
GRAPH_COST_PBRS,211,TRANSPORT_STALL,4,65,0.06153846153846154
GRAPH_COST_PBRS,223,ONE_OBJECT_ONLY_TIMEOUT,2,35,0.05714285714285714
GRAPH_COST_PBRS,223,TRANSPORT_STALL,33,35,0.9428571428571428
GRAPH_COST_PBRS,227,ONE_OBJECT_ONLY_TIMEOUT,33,142,0.2323943661971831
GRAPH_COST_PBRS,227,TRANSPORT_STALL,109,142,0.7676056338028169
GRAPH_COST_PBRS,233,ONE_OBJECT_ONLY_TIMEOUT,97,130,0.7461538461538462
GRAPH_COST_PBRS,233,TRANSPORT_STALL,33,130,0.25384615384615383
GRAPH_COST_PBRS,239,ONE_OBJECT_ONLY_TIMEOUT,56,71,0.7887323943661971
GRAPH_COST_PBRS,239,TRANSPORT_STALL,15,71,0.2112676056338028
GRAPH_FULL_PBRS,211,INVALID_ACTION_LOOP,1,50,0.02
GRAPH_FULL_PBRS,211,ONE_OBJECT_ONLY_TIMEOUT,29,50,0.58
GRAPH_FULL_PBRS,211,TRANSPORT_STALL,20,50,0.4
GRAPH_FULL_PBRS,223,ONE_OBJECT_ONLY_TIMEOUT,46,115,0.4
GRAPH_FULL_PBRS,223,TRANSPORT_STALL,69,115,0.6
GRAPH_FULL_PBRS,227,ONE_OBJECT_ONLY_TIMEOUT,2,62,0.03225806451612903
GRAPH_FULL_PBRS,227,TRANSPORT_STALL,60,62,0.967741935483871
GRAPH_FULL_PBRS,233,INVALID_ACTION_LOOP,2,42,0.047619047619047616
GRAPH_FULL_PBRS,233,ONE_OBJECT_ONLY_TIMEOUT,34,42,0.8095238095238095
GRAPH_FULL_PBRS,233,TRANSPORT_STALL,6,42,0.14285714285714285
GRAPH_FULL_PBRS,239,ONE_OBJECT_ONLY_TIMEOUT,11,108,0.10185185185185185
GRAPH_FULL_PBRS,239,TRANSPORT_STALL,97,108,0.8981481481481481
TASK_ONLY,211,NO_ACQUIRE_PROGRESS,256,512,0.5
TASK_ONLY,211,ONE_OBJECT_ONLY_TIMEOUT,128,512,0.25
TASK_ONLY,211,TRANSPORT_STALL,128,512,0.25
TASK_ONLY,239,INVALID_ACTION_LOOP,127,512,0.248046875
TASK_ONLY,239,NO_ACQUIRE_PROGRESS,64,512,0.125
TASK_ONLY,239,ONE_OBJECT_ONLY_TIMEOUT,64,512,0.125
TASK_ONLY,239,TRANSPORT_STALL,257,512,0.501953125
