method,policy_seed,checkpoint_step,path,exists,bytes,sha256,is_final
TASK_ONLY,233,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_233/policy_0.zip,True,191552,64d6bfcf6be6bab3b43e64fa6f57ec25379bb0400e2eceb42aa2e7be1bfc3ee1,False
TASK_ONLY,233,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_233/policy_32768.zip,True,546204,9c7592b87226bfa52764e0cf4c32d1fe37799b2fcab3fd06b28a69648b34937c,False
TASK_ONLY,233,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_233/policy_65536.zip,True,546208,d6cd8758d6074e6ee53c511e5cf5ed46178d64087063e284cdd7f793454970f4,False
TASK_ONLY,233,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_233/policy_131072.zip,True,546210,b3e448b1d26c1e8912b91de396b1dfc435740963c8741db892473cd5caf6abb1,False
TASK_ONLY,233,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_233/policy_262144.zip,True,546212,3b2be6e8d0baf0c87e26363633b0fd5560fc4ed502303e00e66ff8fa2284dee6,False
TASK_ONLY,233,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_233/policy_524288.zip,True,546212,e530c2ac806b7c2294d93c711d14dd7e90781aa898e5f68ccb3624a9ea8bba90,True
TASK_ONLY,239,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_239/policy_0.zip,True,191552,db6c39c9d3c2c271e88beddd12240c36a0c1a57a629093daab62d54bc5f8b99d,False
TASK_ONLY,239,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_239/policy_32768.zip,True,546204,5cf85148c211a5ef144003b867fc3401b98a0ba042ae2d13155483e17851b5e2,False
TASK_ONLY,239,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_239/policy_65536.zip,True,546208,0d099862522651c34ec5b11d64dcf8dd6d98d41c0d3f731e253b7c2e59c48c43,False
TASK_ONLY,239,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_239/policy_131072.zip,True,546210,00e43c6b9ef71ddfb00781e8c47dd5e912b329de7010c54f2242b3f644974aee,False
TASK_ONLY,239,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_239/policy_262144.zip,True,546212,48a950e9800a61aef57284eb27deefec2bcc3ab0c8e492269e8bd98ea36bbd57,False
TASK_ONLY,239,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_239/policy_524288.zip,True,546212,a1a74abdfe3ff122dfae2b3b06889bae3ede8b5c767c413dcfd140f2f28058f2,True
TASK_ONLY,241,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_241/policy_0.zip,True,191552,76f622bf7a19ed5516dfe4b8f607121f746b512781f2653208d55deb36dd64f1,False
TASK_ONLY,241,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_241/policy_32768.zip,True,546204,d43ae3368c588d82778c75fe44b2008168cd8504a6c5cb4cced06d63b29dfdb6,False
TASK_ONLY,241,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_241/policy_65536.zip,True,546208,308f5b151c9c1c8915b5ab8d90a62e72225108cdca4b5d630c9380839eb09c31,False
TASK_ONLY,241,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_241/policy_131072.zip,True,546210,bdaf2a3ab8dcf2344845bd0805439ba9f9f734ccb499cdbaee70912c10e0954f,False
TASK_ONLY,241,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_241/policy_262144.zip,True,546212,8067d396ae5b1635000fba339472e7f85c63cce6172b8a94dea64d09509456d9,False
TASK_ONLY,241,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_241/policy_524288.zip,True,546212,825d00f8c74149d5f901384d15fa4625b76a561c84304fca0ed33606b6aa18e3,True
TASK_ONLY,251,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_251/policy_0.zip,True,191552,3524c6d3adbcb0f4f59a8d389da3f2ba547d8f46fcca53cef5c1e29ad73efe33,False
