method,policy_seed,condition,profile,successes,episodes,success_rate
COUNT_PBRS,227,INVALIDATE_FIRST,LONG_CHAIN128,0,128,0.0
COUNT_PBRS,227,LATE_LOSS,BASE64,0,128,0.0
COUNT_PBRS,227,LATE_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_PBRS,227,TWO_LOSSES,BASE64,0,128,0.0
COUNT_PBRS,227,TWO_LOSSES,LONG_CHAIN128,0,128,0.0
GEOM_COUNT_EVENTS_PBRS,211,A_STARTED,BASE64,100,128,0.78125
GEOM_COUNT_EVENTS_PBRS,211,A_STARTED,LONG_CHAIN128,80,128,0.625
GEOM_COUNT_EVENTS_PBRS,211,A_VALID_B_LOSS,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,211,A_VALID_B_LOSS,LONG_CHAIN128,96,128,0.75
GEOM_COUNT_EVENTS_PBRS,211,B_STARTED,BASE64,100,128,0.78125
GEOM_COUNT_EVENTS_PBRS,211,B_STARTED,LONG_CHAIN128,80,128,0.625
GEOM_COUNT_EVENTS_PBRS,211,B_VALID_A_LOSS,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,211,B_VALID_A_LOSS,LONG_CHAIN128,104,128,0.8125
GEOM_COUNT_EVENTS_PBRS,211,FREE_ORDER,BASE64,100,128,0.78125
GEOM_COUNT_EVENTS_PBRS,211,FREE_ORDER,LONG_CHAIN128,80,128,0.625
GEOM_COUNT_EVENTS_PBRS,211,INVALIDATE_FIRST,BASE64,96,128,0.75
GEOM_COUNT_EVENTS_PBRS,211,INVALIDATE_FIRST,LONG_CHAIN128,76,128,0.59375
GEOM_COUNT_EVENTS_PBRS,211,LATE_LOSS,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,211,LATE_LOSS,LONG_CHAIN128,84,128,0.65625
GEOM_COUNT_EVENTS_PBRS,211,TWO_LOSSES,BASE64,76,128,0.59375
GEOM_COUNT_EVENTS_PBRS,211,TWO_LOSSES,LONG_CHAIN128,44,128,0.34375
GEOM_COUNT_EVENTS_PBRS,223,A_STARTED,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,223,A_STARTED,LONG_CHAIN128,84,128,0.65625
GEOM_COUNT_EVENTS_PBRS,223,A_VALID_B_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,223,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,223,B_STARTED,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,223,B_STARTED,LONG_CHAIN128,96,128,0.75
