task_id,graph_valid,forward_success,alternative_path_1,alternative_path_2,recovery_episodes,terminal_failure,full_history_ratio,controller_source
transport_recovery,True,20,0,0,20,12,1.0,scripted_oracle
transport_dual_order,True,40,20,20,8,8,1.0,scripted_oracle
