abstention_aware_accuracy,balanced_accuracy,class_count,failure_f1,feature_count,feature_group,forbidden_feature_violations,macro_f1,majority_label,model,pair_only_to_past8_gain,recovery_achieved_f1,recovery_attempt_f1,terminal_failure_f1,train_family_count,train_rows,validation_family_count,validation_rows
0.631336405529954,0.125,9,0.0,1,pair_only,0,0.07740112994350282,none,majority,0.0,0.0,0.0,0.0,103,12801,5,217
0.631336405529954,0.125,9,0.0,1,pair_only,0,0.07740112994350282,none,guard_rules,0.0,0.0,0.0,0.0,103,12801,5,217
0.663594470046083,0.8120437956204379,9,1.0,1,pair_only,0,0.5314824712740885,none,logistic,0.2035910711678749,0.2857142857142857,0.0,1.0,103,12801,5,217
0.09216589861751152,0.25,9,0.0,1,pair_only,0,0.07103825136612021,none,tree_depth4,0.4786564151513264,0.04371584699453552,0.0,0.0,103,12801,5,217
0.631336405529954,0.125,9,0.0,16,current,0,0.07740112994350282,none,majority,0.0,0.0,0.0,0.0,103,12801,5,217
0.631336405529954,0.125,9,0.0,16,current,0,0.07740112994350282,none,guard_rules,0.0,0.0,0.0,0.0,103,12801,5,217
0.6820276497695853,0.9370437956204379,9,1.0,16,current,0,0.6114824712740886,none,logistic,0.2035910711678749,0.2857142857142857,0.8,1.0,103,12801,5,217
0.3317972350230415,0.625,9,1.0,16,current,0,0.32305764411027565,none,tree_depth4,0.4786564151513264,0.2857142857142857,0.0,0.0,103,12801,5,217
0.631336405529954,0.125,9,0.0,133,past8,0,0.07740112994350282,none,majority,0.0,0.0,0.0,0.0,103,12801,5,217
0.631336405529954,0.125,9,0.0,133,past8,0,0.07740112994350282,none,guard_rules,0.0,0.0,0.0,0.0,103,12801,5,217
0.9631336405529954,0.9338503649635037,9,1.0,133,past8,0,0.7350735424419634,none,logistic,0.2035910711678749,1.0,1.0,0.6,103,12801,5,217
0.4423963133640553,0.7682481751824818,9,1.0,133,past8,0,0.5496946665174466,none,tree_depth4,0.4786564151513264,1.0,1.0,0.0,103,12801,5,217
