dst_cluster_id,families,labels,occurrences,src_cluster_id
10,11,"['censored_unknown', 'dwell', 'recovery_attempt', 'terminal_failure']",138,10
4,12,"['alternative', 'terminal_failure']",43,3
4,5,"['alternative', 'terminal_failure']",11,6
