budget,proportion,delete_k,stable_delete_count_p_ge_0.90,stable_keep_count_p_le_0.10,ambiguous_count_p_between_0.10_and_0.90,strongly_ambiguous_count_p_between_0.20_and_0.80
10,0.05,10,0,158,34,15
10,0.1,19,0,136,56,34
10,0.2,38,0,92,100,68
10,0.3,58,0,49,143,99
25,0.05,10,0,169,23,16
25,0.1,19,0,149,43,25
25,0.2,38,7,113,72,48
25,0.3,58,14,83,95,68
50,0.05,10,1,175,16,11
50,0.1,19,8,159,25,15
50,0.2,38,18,130,44,33
50,0.3,58,30,102,60,43
75,0.05,10,5,177,10,7
75,0.1,19,15,168,9,7
75,0.2,38,23,140,29,21
75,0.3,58,40,114,38,24
