proportion,delete_k,last_delete_original_demo,first_keep_original_demo,full100_boundary_gap,pairwise_gap_standard_error,gap_divided_by_standard_error,demos_within_one_standard_error_of_boundary,demos_within_two_standard_errors_of_boundary,bootstrap_stable_delete_count_p_ge_0.90,bootstrap_stable_keep_count_p_le_0.10,bootstrap_ambiguous_count
0.05,10,151,223,0.0008871641592122642,0.009786433762714998,0.09065244610271014,14,23,2,176,14
0.1,19,265,101,0.0009430865664035101,0.011267458054266892,0.08370002904482712,23,48,8,161,23
0.2,38,256,154,0.0004707136377692222,0.017960640365909684,0.026208065424140635,41,75,20,130,42
0.3,58,258,185,0.00017642871825955878,0.01128992362572796,0.015627095816441616,52,96,30,103,59
