repeat,direction,source_pool_size,target_pool_size,method,selected_count,precision_against_independent_bottom20,recall_against_independent_bottom20,jaccard_against_independent_bottom20,mean_independent_rank_percentile,negative_score_rate_in_independent_pool
0,A_to_B,50,50,fixed_bottom20,38.0,0.7105263157894737,0.7105263157894737,0.5510204081632653,0.18352521929824558,0.9210526315789473
0,A_to_B,50,50,fixed_bottom10,19.0,0.8421052631578947,0.42105263157894735,0.3902439024390244,0.10224780701754385,1.0
0,A_to_B,50,50,stable_core_p_ge_0.80,20.0,0.85,0.4473684210526316,0.4146341463414634,0.10286458333333333,1.0
0,A_to_B,50,50,matched_size_bottom_for_p_ge_0.80,20.0,0.85,0.4473684210526316,0.4146341463414634,0.10286458333333333,1.0
0,A_to_B,50,50,stable_core_p_ge_0.90,16.0,0.8125,0.34210526315789475,0.3170731707317073,0.11588541666666667,1.0
0,A_to_B,50,50,matched_size_bottom_for_p_ge_0.90,16.0,0.875,0.3684210526315789,0.35,0.09895833333333334,1.0
0,A_to_B,50,50,stable_core_p_ge_0.95,10.0,0.7,0.18421052631578946,0.17073170731707318,0.13489583333333333,1.0
0,A_to_B,50,50,matched_size_bottom_for_p_ge_0.95,10.0,1.0,0.2631578947368421,0.2631578947368421,0.06822916666666667,1.0
0,B_to_A,50,50,fixed_bottom20,38.0,0.7105263157894737,0.7105263157894737,0.5510204081632653,0.16310307017543857,1.0
0,B_to_A,50,50,fixed_bottom10,19.0,0.7894736842105263,0.39473684210526316,0.35714285714285715,0.1313048245614035,1.0
0,B_to_A,50,50,stable_core_p_ge_0.80,18.0,0.8333333333333334,0.39473684210526316,0.36585365853658536,0.11834490740740741,1.0
0,B_to_A,50,50,matched_size_bottom_for_p_ge_0.80,18.0,0.7777777777777778,0.3684210526315789,0.3333333333333333,0.13310185185185186,1.0
0,B_to_A,50,50,stable_core_p_ge_0.90,12.0,0.8333333333333334,0.2631578947368421,0.25,0.10460069444444443,1.0
0,B_to_A,50,50,matched_size_bottom_for_p_ge_0.90,12.0,0.9166666666666666,0.2894736842105263,0.28205128205128205,0.07942708333333333,1.0
0,B_to_A,50,50,stable_core_p_ge_0.95,7.0,0.8571428571428571,0.15789473684210525,0.15384615384615385,0.08779761904761905,1.0
0,B_to_A,50,50,matched_size_bottom_for_p_ge_0.95,7.0,1.0,0.18421052631578946,0.18421052631578946,0.06101190476190476,1.0
1,A_to_B,50,50,fixed_bottom20,38.0,0.5789473684210527,0.5789473684210527,0.4074074074074074,0.23177083333333331,0.868421052631579
