family_id,case_id,clp3_final_task_success,clp3_signal_observed,clp3_recovery_cycles,clp3_failure_stage,clp3_task_duration_s,raw_o_c3_final_task_success,raw_o_c3_signal_observed,raw_o_c3_recovery_cycles,raw_o_c3_failure_stage,raw_o_c3_task_duration_s,recovery_disabled_final_task_success,recovery_disabled_signal_observed,recovery_disabled_recovery_cycles,recovery_disabled_failure_stage,recovery_disabled_task_duration_s
L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,True,True,1,,9.1,True,True,1,,9.05,False,True,0,,2.7
L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,True,True,0,,6.8,True,True,1,TRIGGERING_ERROR,8.55,True,True,0,,6.8
L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,True,False,0,,2.6,True,False,0,,2.6,True,False,0,,2.6
L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,False,True,1,RELOCATION_ERROR,6.6,False,True,1,RELOCATION_ERROR,6.55,False,True,0,,2.6
L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,True,True,1,,10.75,True,True,1,,10.7,False,True,0,,2.6
L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,True,True,2,,15.4,False,True,1,TASK_RECOVERY_ERROR,8.95,False,True,0,,2.6
L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,True,True,1,,9.11,True,True,1,,9.11,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,True,True,0,,6.8,True,True,1,TRIGGERING_ERROR,8.55,True,True,0,,6.8
L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,True,False,0,,2.6,True,False,0,,2.6,True,False,0,,2.6
L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,False,True,1,RELOCATION_ERROR,6.31,False,True,1,RELOCATION_ERROR,6.31,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,True,True,1,,10.86,True,True,1,,10.86,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,False,True,1,TASK_RECOVERY_ERROR,9.11,False,True,1,TASK_RECOVERY_ERROR,9.11,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,False,True,1,TASK_RECOVERY_ERROR,9.05,False,True,1,TASK_RECOVERY_ERROR,9.01,False,True,0,,2.35
L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,True,True,0,,6.8,True,True,1,TRIGGERING_ERROR,8.55,True,True,0,,6.8
L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,True,False,0,,2.6,True,False,0,,2.6,True,False,0,,2.6
L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,False,True,1,RELOCATION_ERROR,6.31,False,True,1,RELOCATION_ERROR,6.31,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,True,True,1,,10.76,True,True,1,,10.76,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,False,True,1,TASK_RECOVERY_ERROR,9.01,False,True,1,TASK_RECOVERY_ERROR,9.01,False,True,0,,2.31
L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,True,True,1,,9.05,True,True,1,,9.0,False,True,0,,2.65
L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,True,True,0,,6.8,True,True,1,TRIGGERING_ERROR,8.55,True,True,0,,6.8
L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3,False,False,0,SIGNAL_NOT_OBSERVED,3.3
L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,True,False,0,,2.6,True,False,0,,2.6,True,False,0,,2.6
L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,False,True,1,RELOCATION_ERROR,6.55,False,True,1,RELOCATION_ERROR,6.5,False,True,0,,2.55
L2RAR2_R24_BOUNDARY_03_896003,R24C7_regrasp_disturbance,True,True,1,,10.7,True,True,1,,10.65,False,True,0,,2.55
L2RAR2_R24_BOUNDARY_03_896003,R24C8_secondary_loss,True,True,2,,15.35,True,True,2,,15.3,False,True,0,,2.55
