method,rollouts,final_task_success,final_task_success_rate,signal_exposed_physical_loss,physical_loss_rollouts,signal_exposure_rate_physical_loss,signal_exposed_recovery_required,recovery_required_rollouts,signal_exposure_rate_recovery_required,rollouts_with_successful_recovery,successful_recovery_executions,failed_recovery_executions,outer_recovery_cycles,inner_recovery_loops,false_executed_actions,signal_not_observed,candidate_errors,task_duration_median_s,task_duration_mean_s,task_duration_p90_s,failure_stages
O_C3_CLP3_CANONICAL_TIME,32,17,0.53125,20,28,0.714286,16,24,0.666667,12,14,4,18,26,0,8,0,6.7,6.813125,10.759,"{""RELOCATION_ERROR"": 4, ""SIGNAL_NOT_OBSERVED"": 8, ""TASK_RECOVERY_ERROR"": 3}"
O_C3_RAW,32,16,0.5,20,28,0.714286,16,24,0.666667,16,17,4,21,29,4,8,4,7.55,6.818125,10.695,"{""RELOCATION_ERROR"": 4, ""SIGNAL_NOT_OBSERVED"": 8, ""TASK_RECOVERY_ERROR"": 4, ""TRIGGERING_ERROR"": 4}"
RECOVERY_DISABLED,32,8,0.25,20,28,0.714286,16,24,0.666667,0,0,0,0,0,0,8,0,2.6,3.22875,6.45,"{""SIGNAL_NOT_OBSERVED"": 8}"
