update,valid_transitions,rollout_n,success_episodes,zero_reward_episodes,policy_loss,value_loss,q_loss,total_loss,grad_norm,NaN_n,mask_error_n,controller_failure_n,timeout_n,original_episode_n,absent_episode_n,interaction_seconds,dp_rms_all,dk_rms_all,dh_rms_all,residual_rms_all,max_abs_residual,dp_nonzero_rate_all,residual_nonzero_rate_all,dp_nonzero_rate_conditioned,residual_nonzero_rate_conditioned,qualifying_n,mean_duration,median_duration,candidate_count_mean
1,1024,1024,30,101,-0.04132535503595136,0.03872992342803627,0.010235786931843904,-0.02799986112222541,0.2394174060318619,0,0,0,18,0,132,5033.900000000681,0.0,0.013178801924009616,0.013178801924009616,0.0,0,0.0,0.0,,,0,4.915917968750665,4.2499999999976446,2.2529296875
2,2048,1024,96,181,-0.04171151220543834,0.06081557966535911,0.010370841273470432,-0.017209106481459457,0.7548696505837142,0,0,0,27,0,278,10007.550000001156,0.0,0.05818031779104564,0.05818031779104564,0.0,0,0.0,0.0,,,0,4.85708007812546,4.2499999999976446,2.306640625
3,3072,1024,193,249,-0.045182563644630136,0.05056166759459302,0.007210902622318827,-0.025946614841814153,0.8838491947390139,0,0,0,39,0,443,15148.050000001595,0.0,0.07258001906462488,0.07258001906462488,0.0,0,0.0,0.0,,,0,5.020019531250348,4.449999999997534,2.4189453125
4,4096,1024,362,286,-0.03492696779449034,0.04159050750604365,0.009995813001296483,-0.018940263253170997,0.920430731261149,0,0,0,44,0,648,20242.400000001475,0.0,0.14664451180440957,0.14664451180440957,0.0,0,0.0,0.0,,,0,4.974951171874961,4.499999999997506,2.5029296875
5,5120,1024,578,311,-0.00148570673809445,0.020914212906063767,0.011782324470914318,0.005734338908951031,0.7868770734639838,0,0,0,47,0,889,25320.500000001193,0.0,0.16152347480357993,0.16152347480357993,0.0,0,0.0,0.0,,,0,4.959082031249899,4.500000000001504,2.5888671875
6,6144,1024,836,333,0.012112111320675467,0.021543555847529205,0.010417495144793065,0.02168098054244183,1.130535681382753,0,0,0,48,0,1170,30445.80000000095,0.0,0.171060789290703,0.171060789290703,0.0,0,0.0,0.0,,,0,5.00517578125004,4.549999999997478,2.6025390625
7,7168,1024,1127,358,-0.0037443314063239086,0.017261027402128093,0.011452554186689667,0.0027312574529787526,0.5019147252896801,0,0,0,48,0,1486,35553.55000000105,0.0,0.22035538759059506,0.22035538759059506,0.0,0,0.0,0.0,,,0,4.988037109375325,4.500000000001504,2.6572265625
8,8192,1024,1395,382,-0.005560676853747282,0.019581972821470117,0.011231816968575004,0.00233761963500001,0.5862576831132174,0,0,0,48,0,1778,40718.65000000122,0.0,0.136373668768869,0.136373668768869,0.0,0,0.0,0.0,,,0,5.044042968750095,4.599999999997451,2.630859375
