capture_order,time,phase,action,action_index,object_dx,object_dy,object_dz,object_l2,gripper_dx,gripper_dy,gripper_dz,gripper_l2,relative_dx,relative_dy,relative_dz,relative_l2,geometry_pass
0,0.05,control_tick,observe_scene,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,0.09999999999999999,control_tick,observe_scene,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2,0.15,control_tick,observe_scene,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
3,0.15,action_end,observe_scene,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
4,0.20000000000000004,control_tick,approach_object,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
5,0.25000000000000006,control_tick,approach_object,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
6,0.3000000000000001,control_tick,approach_object,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
7,0.35000000000000014,control_tick,approach_object,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
8,0.35000000000000014,action_end,approach_object,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
9,0.4000000000000002,control_tick,close_gripper,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
10,0.45000000000000023,control_tick,close_gripper,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
11,0.45000000000000023,action_end,close_gripper,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
12,0.5000000000000002,control_tick,lift,4,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,False
13,0.5500000000000003,control_tick,lift,4,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,False
14,0.6000000000000003,control_tick,lift,4,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,False
15,0.6000000000000003,action_end,lift,4,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,False
16,0.6500000000000004,control_tick,verify,5,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,False
17,0.7000000000000004,control_tick,verify,5,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,False
18,0.7500000000000004,control_tick,verify,5,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,False
19,0.7500000000000004,action_end,verify,5,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,False
20,0.8000000000000005,control_tick,verify,6,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,False
21,0.8500000000000005,control_tick,verify,6,-8.00149315249854e-07,-1.221347044095644e-05,4.873766910051813e-07,1.224935243911884e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.221347044095644e-05,4.873766910051813e-07,1.224935243911884e-05,False
22,0.9000000000000006,control_tick,verify,6,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,False
23,0.9000000000000006,action_end,verify,6,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,0.0,0.0,0.0,0.0,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,False
24,0.9500000000000006,control_tick,transport_to_target,7,-5.859175624400859e-07,3.198512468945147e-06,-5.127959337158927e-07,3.291920575227912e-06,0.0,0.0,0.0,0.0,-5.859175624400859e-07,3.198512468945147e-06,-5.127959337158927e-07,3.291920575227912e-06,False
25,1.0000000000000007,control_tick,transport_to_target,7,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,0.0,0.0,0.0,0.0,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,False
26,1.0500000000000007,control_tick,transport_to_target,7,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,0.0,0.0,0.0,0.0,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,False
27,1.1000000000000008,control_tick,transport_to_target,7,-6.220575175970577e-07,-3.369397703768817e-06,4.860629867486921e-07,3.4606435338602346e-06,0.0,0.0,0.0,0.0,-6.220575175970577e-07,-3.369397703768817e-06,4.860629867486921e-07,3.4606435338602346e-06,False
28,1.1500000000000008,control_tick,transport_to_target,7,-6.220575175935883e-07,-3.369397703775756e-06,4.860629867486921e-07,3.4606435338663667e-06,0.0,0.0,0.0,0.0,-6.220575175935883e-07,-3.369397703775756e-06,4.860629867486921e-07,3.4606435338663667e-06,False
29,1.2000000000000008,control_tick,transport_to_target,7,-6.222605945793713e-07,-3.3693968488207604e-06,4.861325793026339e-07,3.460688985891245e-06,0.0,0.0,0.0,0.0,-6.222605945793713e-07,-3.3693968488207604e-06,4.861325793026339e-07,3.460688985891245e-06,False
30,1.2500000000000009,control_tick,transport_to_target,7,-7.997540129867087e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643649063e-05,0.0,0.0,0.0,0.0,-7.997540129867087e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643649063e-05,False
31,1.300000000000001,control_tick,transport_to_target,7,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,False
32,1.300000000000001,action_end,transport_to_target,7,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,False
33,1.350000000000001,control_tick,verify,8,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,False
34,1.400000000000001,control_tick,verify,8,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,False
35,1.450000000000001,control_tick,verify,8,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,False
36,1.450000000000001,action_end,verify,8,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.0,0.0,0.0,0.0,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,False
