sequence,sampling_point,action,action_index,time,object_x,object_y,object_z,gripper_x,gripper_y,gripper_z,relative_x,relative_y,relative_z,qpos_sha256,qvel_sha256,qacc_warmstart_sha256,eq_active,eq_data_sha256,rng_state_sha256,contact_pair_sha256,ncon,weld_state,attached
17,action_end_callback,close_gripper,3,0.45000000000000023,-0.28003248023737176,0.002457190329410839,0.557947571051854,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,f0cd762402f3119989ac1be4ea091eb27d83180b3af2e1509e02672c9853bfbb,8ef9b154c5f1814572969e3d87dd763a93a404083f13fd7a7848e5e5f6115562,bf72c7c094c8c5bdea7b2cb465a331fa24c1caaf4c96b5365c8658c58227cefc,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,e31e0f3fa80a6b8c168bd4238d1bf1bca730d00a6f7a9566034408ce7bce351b,3,1,True
18,after_perform_return,close_gripper,3,0.45000000000000023,-0.28003248023737176,0.002457190329410839,0.557947571051854,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,f0cd762402f3119989ac1be4ea091eb27d83180b3af2e1509e02672c9853bfbb,8ef9b154c5f1814572969e3d87dd763a93a404083f13fd7a7848e5e5f6115562,bf72c7c094c8c5bdea7b2cb465a331fa24c1caaf4c96b5365c8658c58227cefc,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,e31e0f3fa80a6b8c168bd4238d1bf1bca730d00a6f7a9566034408ce7bce351b,3,1,True
19,before_action,lift,3,0.45000000000000023,-0.28003248023737176,0.002457190329410839,0.557947571051854,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,f0cd762402f3119989ac1be4ea091eb27d83180b3af2e1509e02672c9853bfbb,8ef9b154c5f1814572969e3d87dd763a93a404083f13fd7a7848e5e5f6115562,bf72c7c094c8c5bdea7b2cb465a331fa24c1caaf4c96b5365c8658c58227cefc,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,e31e0f3fa80a6b8c168bd4238d1bf1bca730d00a6f7a9566034408ce7bce351b,3,1,True
20,control_tick_callback,lift,4,0.5000000000000002,-0.27989112649884856,0.001625271261448511,0.6156215941972709,-0.2798393325060133,0.0015783719990417108,0.745496569865111,-5.179399283528063e-05,4.689926240680027e-05,-0.12987497566784012,ffd0f5a5d1e628e802a3869c994cd04e18f09db732eafdd85e9265326f09a808,21646dc9f8e11c7193b92626d27d905264fc02c62e8b4013848bdb22b6e21c62,49637ff17e2d3b2daa7f8d455dab0481a177e6d5edcddc254de480e6bf38d953,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,e8ce6b715b69c859902d39b4f1363f33489746c8821db5d1ec56d9d1d3ea3f56,2,1,True
21,control_tick_callback,lift,4,0.5500000000000003,-0.27989112649884856,0.001625271261448511,0.6756215941972707,-0.2798393325060133,0.0015783719990417108,0.8054965698651109,-5.179399283528063e-05,4.689926240680027e-05,-0.12987497566784012,77542eb26ed8c6615c24e4bc4ed4886e1c64048c1de96bb11e6a7cd542551e20,c749f2d9dcf767fddd56cdb4dae08f03af8bd28db98fb0bd148a53a1cdb94be7,8be8101e604aae5fa054e00a648bf294290ef72d9c382c7793f39f57cba33cce,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,e8ce6b715b69c859902d39b4f1363f33489746c8821db5d1ec56d9d1d3ea3f56,2,1,True
22,control_tick_callback,lift,4,0.6000000000000003,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,99058d36a3d773731b62ea7be0781b6349a34612279e643476714dba3627a93a,119add5e2ee43189c9ac5c75c6da46f2c4ea606beebe96234c249a21c477bd6d,cbdca35d434933985d663c7b7184d06cd60ce7a0525b911cfdc96842d5566bcf,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,6a2dab6803e5bfcfd373365b99c7eec09fd048573bbabe0adee4ad1f02ab70e6,2,1,True
23,action_end_callback,lift,4,0.6000000000000003,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,99058d36a3d773731b62ea7be0781b6349a34612279e643476714dba3627a93a,119add5e2ee43189c9ac5c75c6da46f2c4ea606beebe96234c249a21c477bd6d,cbdca35d434933985d663c7b7184d06cd60ce7a0525b911cfdc96842d5566bcf,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,6a2dab6803e5bfcfd373365b99c7eec09fd048573bbabe0adee4ad1f02ab70e6,2,1,True
24,after_perform_return,lift,4,0.6000000000000003,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,99058d36a3d773731b62ea7be0781b6349a34612279e643476714dba3627a93a,119add5e2ee43189c9ac5c75c6da46f2c4ea606beebe96234c249a21c477bd6d,cbdca35d434933985d663c7b7184d06cd60ce7a0525b911cfdc96842d5566bcf,[1],ec6669cdd4aebefa9e64a6367205a075617f373b0501d3c2625c858fec7fbd3c,cd768e1208be1afebaaa0acee9987803046ec37554b26140abf93024653e9deb,6a2dab6803e5bfcfd373365b99c7eec09fd048573bbabe0adee4ad1f02ab70e6,2,1,True
