index,capture_order,time,phase,action,action_index,state_sequence,state_sampling_point,cache_phase,cache_time,mapping_pass,mapping_errors
0,0,0.05,control_tick,observe_scene,1,2,control_tick_callback,control_tick,0.05,True,
1,1,0.09999999999999999,control_tick,observe_scene,1,3,control_tick_callback,control_tick,0.1,True,
2,2,0.15,control_tick,observe_scene,1,4,control_tick_callback,control_tick,0.15,True,
3,3,0.15,action_end,observe_scene,1,5,action_end_callback,action_end,0.15,True,
4,4,0.20000000000000004,control_tick,approach_object,2,8,control_tick_callback,control_tick,0.2,True,
5,5,0.25000000000000006,control_tick,approach_object,2,9,control_tick_callback,control_tick,0.25,True,
6,6,0.3000000000000001,control_tick,approach_object,2,10,control_tick_callback,control_tick,0.3,True,
7,7,0.35000000000000014,control_tick,approach_object,2,11,control_tick_callback,control_tick,0.35,True,
8,8,0.35000000000000014,action_end,approach_object,2,12,action_end_callback,action_end,0.35,True,
9,9,0.4000000000000002,control_tick,close_gripper,3,15,control_tick_callback,control_tick,0.4,True,
10,10,0.45000000000000023,control_tick,close_gripper,3,16,control_tick_callback,control_tick,0.45,True,
11,11,0.45000000000000023,action_end,close_gripper,3,17,action_end_callback,action_end,0.45,True,
12,12,0.5000000000000002,control_tick,lift,4,20,control_tick_callback,control_tick,0.5,True,
13,13,0.5500000000000003,control_tick,lift,4,21,control_tick_callback,control_tick,0.55,True,
14,14,0.6000000000000003,control_tick,lift,4,22,control_tick_callback,control_tick,0.6,True,
15,15,0.6000000000000003,action_end,lift,4,23,action_end_callback,action_end,0.6,True,
16,16,0.6500000000000004,control_tick,verify,5,26,control_tick_callback,control_tick,0.65,True,
17,17,0.7000000000000004,control_tick,verify,5,27,control_tick_callback,control_tick,0.7,True,
18,18,0.7500000000000004,control_tick,verify,5,28,control_tick_callback,control_tick,0.75,True,
19,19,0.7500000000000004,action_end,verify,5,29,action_end_callback,action_end,0.75,True,
20,20,0.8000000000000005,control_tick,verify,6,32,control_tick_callback,control_tick,0.8,True,
21,21,0.8500000000000005,control_tick,verify,6,33,control_tick_callback,control_tick,0.85,True,
22,22,0.9000000000000006,control_tick,verify,6,34,control_tick_callback,control_tick,0.9,True,
23,23,0.9000000000000006,action_end,verify,6,35,action_end_callback,action_end,0.9,True,
24,24,0.9500000000000006,control_tick,transport_to_target,7,38,control_tick_callback,control_tick,0.95,True,
25,25,1.0000000000000007,control_tick,transport_to_target,7,39,control_tick_callback,control_tick,1.0,True,
26,26,1.0500000000000007,control_tick,transport_to_target,7,40,control_tick_callback,control_tick,1.05,True,
27,27,1.1000000000000008,control_tick,transport_to_target,7,41,control_tick_callback,control_tick,1.1,True,
28,28,1.1500000000000008,control_tick,transport_to_target,7,42,control_tick_callback,control_tick,1.15,True,
29,29,1.2000000000000008,control_tick,transport_to_target,7,43,control_tick_callback,control_tick,1.2,True,
30,30,1.2500000000000009,control_tick,transport_to_target,7,44,control_tick_callback,control_tick,1.25,True,
31,31,1.300000000000001,control_tick,transport_to_target,7,45,control_tick_callback,control_tick,1.3,True,
32,32,1.300000000000001,action_end,transport_to_target,7,46,action_end_callback,action_end,1.3,True,
33,33,1.350000000000001,control_tick,verify,8,49,control_tick_callback,control_tick,1.35,True,
34,34,1.400000000000001,control_tick,verify,8,50,control_tick_callback,control_tick,1.4,True,
35,35,1.450000000000001,control_tick,verify,8,51,control_tick_callback,control_tick,1.45,True,
36,36,1.450000000000001,action_end,verify,8,52,action_end_callback,action_end,1.45,True,
