capture_order,time,phase,action,action_index,cache_object_x,cache_object_y,cache_object_z,ordinary_object_x,ordinary_object_y,ordinary_object_z,object_dx,object_dy,object_dz,object_l2,cache_gripper_x,cache_gripper_y,cache_gripper_z,ordinary_gripper_x,ordinary_gripper_y,ordinary_gripper_z,gripper_dx,gripper_dy,gripper_dz,gripper_l2,cache_relative_x,cache_relative_y,cache_relative_z,ordinary_relative_x,ordinary_relative_y,ordinary_relative_z,relative_dx,relative_dy,relative_dz,relative_l2,cache_weld_state,ordinary_weld_state,weld_state_match,geometry_pass
0,0.05,control_tick,observe_scene,1,-0.279811,0.001535,0.5606425000000002,-0.279811,0.001535,0.5606425000000002,0.0,0.0,0.0,0.0,-0.279811,-0.248465,0.78,-0.279811,-0.248465,0.78,0.0,0.0,0.0,0.0,0.0,0.25,-0.21935749999999987,0.0,0.25,-0.21935749999999987,0.0,0.0,0.0,0.0,0,0,True,True
1,0.09999999999999999,control_tick,observe_scene,1,-0.2798677086558202,0.0011492009184913277,0.5535594822086055,-0.2798677086558202,0.0011492009184913277,0.5535594822086055,0.0,0.0,0.0,0.0,-0.279811,-0.248465,0.78,-0.279811,-0.248465,0.78,0.0,0.0,0.0,0.0,-5.6708655820247866e-05,0.24961420091849132,-0.2264405177913945,-5.6708655820247866e-05,0.24961420091849132,-0.2264405177913945,0.0,0.0,0.0,0.0,0,0,True,True
2,0.15,control_tick,observe_scene,1,-0.2798393325060133,0.0015783719990417105,0.555496569865111,-0.2798393325060133,0.0015783719990417105,0.555496569865111,0.0,0.0,0.0,0.0,-0.279811,-0.248465,0.78,-0.279811,-0.248465,0.78,0.0,0.0,0.0,0.0,-2.8332506013306613e-05,0.2500433719990417,-0.22450343013488905,-2.8332506013306613e-05,0.2500433719990417,-0.22450343013488905,0.0,0.0,0.0,0.0,0,0,True,True
3,0.15,action_end,observe_scene,1,-0.2798393325060133,0.0015783719990417105,0.555496569865111,-0.2798393325060133,0.0015783719990417105,0.555496569865111,0.0,0.0,0.0,0.0,-0.279811,-0.248465,0.78,-0.279811,-0.248465,0.78,0.0,0.0,0.0,0.0,-2.8332506013306613e-05,0.2500433719990417,-0.22450343013488905,-2.8332506013306613e-05,0.2500433719990417,-0.22450343013488905,0.0,0.0,0.0,0.0,0,0,True,True
4,0.20000000000000004,control_tick,approach_object,2,-0.2798136186667946,0.0014723540258869132,0.5560536486107623,-0.2798136186667946,0.0014723540258869132,0.5560536486107623,0.0,0.0,0.0,0.0,-0.2798180831265033,-0.18595415700023957,0.7563741424662778,-0.2798180831265033,-0.18595415700023957,0.7563741424662778,0.0,0.0,0.0,0.0,4.464459708697355e-06,0.18742651102612648,-0.20032049385551542,4.464459708697355e-06,0.18742651102612648,-0.20032049385551542,0.0,0.0,0.0,0.0,0,0,True,True
5,0.25000000000000006,control_tick,approach_object,2,-0.27977316911056915,0.001462964489712294,0.5555227305999378,-0.27977316911056915,0.001462964489712294,0.5555227305999378,0.0,0.0,0.0,0.0,-0.27982516625300663,-0.12344331400047914,0.7327482849325555,-0.27982516625300663,-0.12344331400047914,0.7327482849325555,0.0,0.0,0.0,0.0,5.199714243747655e-05,0.12490627849019144,-0.17722555433261766,5.199714243747655e-05,0.12490627849019144,-0.17722555433261766,0.0,0.0,0.0,0.0,0,0,True,True
6,0.3000000000000001,control_tick,approach_object,2,-0.27982657891027546,0.0023213088734630226,0.5568326231074745,-0.27982657891027546,0.0023213088734630226,0.5568326231074745,0.0,0.0,0.0,0.0,-0.27983224937950996,-0.06093247100071871,0.7091224273988332,-0.27983224937950996,-0.06093247100071871,0.7091224273988332,0.0,0.0,0.0,0.0,5.670469234497766e-06,0.06325377987418174,-0.15228980429135874,5.670469234497766e-06,0.06325377987418174,-0.15228980429135874,0.0,0.0,0.0,0.0,0,0,True,True
7,0.35000000000000014,control_tick,approach_object,2,-0.28006528545155424,0.0024151527274878896,0.5575438291858454,-0.28006528545155424,0.0024151527274878896,0.5575438291858454,0.0,0.0,0.0,0.0,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.2798393325060133,0.0015783719990417105,0.685496569865111,0.0,0.0,0.0,0.0,-0.00022595294554095258,0.0008367807284461791,-0.12795274067926554,-0.00022595294554095258,0.0008367807284461791,-0.12795274067926554,0.0,0.0,0.0,0.0,0,0,True,True
8,0.35000000000000014,action_end,approach_object,2,-0.28006528545155424,0.0024151527274878896,0.5575438291858454,-0.28006528545155424,0.0024151527274878896,0.5575438291858454,0.0,0.0,0.0,0.0,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.2798393325060133,0.0015783719990417105,0.685496569865111,0.0,0.0,0.0,0.0,-0.00022595294554095258,0.0008367807284461791,-0.12795274067926554,-0.00022595294554095258,0.0008367807284461791,-0.12795274067926554,0.0,0.0,0.0,0.0,0,0,True,True
9,0.4000000000000002,control_tick,close_gripper,3,-0.2800361214367686,0.0024580010072932893,0.5577770986626647,-0.2800361214367686,0.0024580010072932893,0.5577770986626647,0.0,0.0,0.0,0.0,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.2798393325060133,0.0015783719990417105,0.685496569865111,0.0,0.0,0.0,0.0,-0.00019678893075530945,0.0008796290082515787,-0.1277194712024463,-0.00019678893075530945,0.0008796290082515787,-0.1277194712024463,0.0,0.0,0.0,0.0,0,0,True,True
