rollout_id,root_family_id,case_id,physical_loss_status,independent_source,physical_loss_recall,denominator_reason,weld_release_time_reference_audit,max_relative_drift_after_event_m,relative_loss_gate_m,geometric_detach_observed
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.8,0.010053,0.02,False
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.65,0.010053,0.02,False
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.8,0.016834,0.02,False
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.85,0.010601,0.02,False
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.7,0.010601,0.02,False
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.85,0.017543,0.02,False
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.9,0.009892,0.02,False
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.75,0.009892,0.02,False
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.9,0.015906,0.02,False
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.85,0.010593,0.02,False
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.7,0.010593,0.02,False
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence,0.85,0.017927,0.02,False
