episode_id,n_steps,path,rollout_seed,root_family_id,split,success,terminal_reason
u4b_u4b_v1_48_8600000,27,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_48_8600000.json,8600000,u4b_v1_48,confirm,True,stable_success
u4b_u4b_v1_48_8600001,29,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_48_8600001.json,8600001,u4b_v1_48,confirm,True,stable_success
u4b_u4b_v1_48_8600002,22,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_48_8600002.json,8600002,u4b_v1_48,confirm,True,stable_success
u4b_u4b_v1_48_8600003,26,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_48_8600003.json,8600003,u4b_v1_48,confirm,True,stable_success
u4b_u4b_v1_49_8600010,48,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_49_8600010.json,8600010,u4b_v1_49,confirm,False,horizon
u4b_u4b_v1_49_8600011,30,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_49_8600011.json,8600011,u4b_v1_49,confirm,True,stable_success
u4b_u4b_v1_49_8600012,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_49_8600012.json,8600012,u4b_v1_49,confirm,True,stable_success
u4b_u4b_v1_49_8600013,27,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_49_8600013.json,8600013,u4b_v1_49,confirm,True,stable_success
u4b_u4b_v1_50_8600020,30,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_50_8600020.json,8600020,u4b_v1_50,confirm,True,stable_success
u4b_u4b_v1_50_8600021,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_50_8600021.json,8600021,u4b_v1_50,confirm,True,stable_success
u4b_u4b_v1_50_8600022,29,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_50_8600022.json,8600022,u4b_v1_50,confirm,True,stable_success
u4b_u4b_v1_50_8600023,26,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_50_8600023.json,8600023,u4b_v1_50,confirm,True,stable_success
u4b_u4b_v1_51_8600030,27,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_51_8600030.json,8600030,u4b_v1_51,confirm,True,stable_success
u4b_u4b_v1_51_8600031,29,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_51_8600031.json,8600031,u4b_v1_51,confirm,True,stable_success
u4b_u4b_v1_51_8600032,27,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_51_8600032.json,8600032,u4b_v1_51,confirm,True,stable_success
u4b_u4b_v1_51_8600033,27,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_51_8600033.json,8600033,u4b_v1_51,confirm,True,stable_success
u4b_u4b_v1_52_8600040,7,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_52_8600040.json,8600040,u4b_v1_52,confirm,False,terminal_collision
u4b_u4b_v1_52_8600041,6,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v1/data/confirmation/u4b_u4b_v1_52_8600041.json,8600041,u4b_v1_52,confirm,False,terminal_collision
