episode_id,evidence_end_ns,evidence_end_capture_order,first_proposal_ns,first_proposal_capture_order,first_proposal_attempt_id,first_recovery_command_ns,first_recovery_command_capture_order,recovery_physics_start_ns,recovery_control_executed,release_intent_ns,attempt_change_ns,observation_boundary_ns,observation_boundary_capture_order,observation_boundary_reason,last_candidate_observation_ns
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,15350000000
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__O_C3_RAW,2500000000,54,2500000000,53,1,2550000000,55,2550000000,True,8300000000,2550000000,2550000000,55,RECOVERY_CONTROL_STARTED,15300000000
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__RECOVERY_DISABLED,2550000000,55,2550000000,54,1,,,,False,,,,,RAW_OBSERVATION_ENDED,2550000000
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F0_S0_CLP3_BASELINE,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F0_S1_SUPERVISOR_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F1_S0_FUSION_ONLY,2650000000,57,2650000000,56,1,2700000000,58,2700000000,True,8450000000,2700000000,2700000000,58,RECOVERY_CONTROL_STARTED,9050000000
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F1_S1_FUSION_SUPERVISOR,2650000000,57,2650000000,56,1,2700000000,58,2700000000,True,8450000000,2700000000,2700000000,58,RECOVERY_CONTROL_STARTED,9050000000
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F0_S0_CLP3_BASELINE,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F0_S1_SUPERVISOR_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F1_S0_FUSION_ONLY,2650000000,57,2650000000,56,1,2700000000,58,2700000000,True,8450000000,2700000000,2700000000,58,RECOVERY_CONTROL_STARTED,9050000000
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F1_S1_FUSION_SUPERVISOR,2650000000,57,2650000000,56,1,2700000000,58,2700000000,True,8450000000,2700000000,2700000000,58,RECOVERY_CONTROL_STARTED,9050000000
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F0_S0_CLP3_BASELINE,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,6550000000
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F0_S1_SUPERVISOR_ONLY,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,12350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,12950000000
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F1_S0_FUSION_ONLY,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,6550000000
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F1_S1_FUSION_SUPERVISOR,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,12350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,12950000000
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F0_S0_CLP3_BASELINE,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,8950000000
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F0_S1_SUPERVISOR_ONLY,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,15350000000
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F1_S0_FUSION_ONLY,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,8950000000
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F1_S1_FUSION_SUPERVISOR,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,15350000000
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F0_S0_CLP3_BASELINE,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,8950000000
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F0_S1_SUPERVISOR_ONLY,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,15350000000
