comparison,families,mean_effect,bootstrap_low,bootstrap_high,bootstrap_resamples
V1-T,9,0.3333333333333333,0.16666666666666666,0.5,5000
V2-T,9,0.4444444444444444,0.3333333333333333,0.5,5000
V2-V1,9,0.1111111111111111,-0.1111111111111111,0.3333333333333333,5000
