baseline,rollouts,goal_precision,goal_recall,goal_f1,stable_hold_f1,failure_f1,recovery_f1,false_ready_rate,unknown_rate
B0_text_coarse_assumption,64,,0.0,,,,,0.0,1.0
B1_current_frame_rgb,64,1.0,0.9032258064516129,0.9491525423728813,,,,0.0,0.009615384615384616
B2_single_view_temporal,64,1.0,0.9032258064516129,0.9491525423728813,0.9152542372881356,0.23529411764705882,0.0,0.0,0.10114550627943482
B3_single_view_temporal_contact_action,64,1.0,0.9032258064516129,0.9491525423728813,1.0,1.0,1.0,0.0,0.08640524346343317
Oracle_diagnostic_upper_bound,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
