task_id,policy_seed,model_seed,data_seed,augmentation_seed,validation_seed_start,test_seed_registry_id
transport_recovery,20260909,20260909,20360909,20460909,20560909,stage6_frozen_eval_registry
transport_recovery,20260910,20260910,20360910,20460910,20560910,stage6_frozen_eval_registry
transport_recovery,20260911,20260911,20360911,20460911,20560911,stage6_frozen_eval_registry
transport_dual_order,20260909,20260909,20360909,20460909,20560909,stage6_frozen_eval_registry
transport_dual_order,20260910,20260910,20360910,20460910,20560910,stage6_frozen_eval_registry
transport_dual_order,20260911,20260911,20360911,20460911,20560911,stage6_frozen_eval_registry
