suite,model_seed,aggregation,statistics_unit,content_group_count,prediction_count,node_macro_f1,edge_type_macro_f1_non_none,edge_id_macro_f1,alternative_edge_f1,recovery_edge_f1,phi_mae,phi_spearman,phi_monotonic_violation_rate,remaining_cost_mae,remaining_cost_spearman,cost_pair_accuracy,provenance
val,ensemble,frame_metrics_from_content_group_preserving_records,content_group_id,7,840,0.9586027697300307,0.5972222222222222,0.6505937755937756,nan,1.0,0.13378906333597287,0.826269007912831,0.12247474747474747,0.18267823351777643,0.7244568697760949,0.843937575030012,stage8_real_frozen_checkpoint_inference
test,ensemble,frame_metrics_from_content_group_preserving_records,content_group_id,13,1560,0.7348406699430963,0.6200716845878137,0.6778481219049749,nan,1.0,0.15070918833828953,0.8367991035246404,0.11808367071524967,0.16663568494860112,0.8165997956745734,0.8707175177763413,stage8_real_frozen_checkpoint_inference
stage3_diagnostic,ensemble,frame_metrics_from_content_group_preserving_records,content_group_id,20,2400,0.7816949669373594,0.6122931442080378,0.6685688820982939,nan,1.0,0.1447871445874787,0.8289945770823919,0.11961301671064203,0.17225057694781248,0.7827369162737702,0.8613445378151261,stage8_real_frozen_checkpoint_inference
