episode_id,paired_condition_id,root_family_id,arm_id
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
