episode_id,evidence_end_ns,first_recovery_command_ns,last_candidate_observation_ns
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,2700000000,2700000000,9100000000
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_RAW,2650000000,2650000000,9050000000
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__RECOVERY_DISABLED,2700000000,2700000000,2700000000
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_RAW,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__RECOVERY_DISABLED,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,6800000000,,6800000000
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,2150000000,2150000000,8550000000
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,6800000000,,6800000000
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,2600000000,,2600000000
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,2600000000,,2600000000
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,2600000000,,2600000000
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,2600000000,2600000000,6600000000
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,2550000000,2550000000,6550000000
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,2600000000,2600000000,2600000000
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,2600000000,2600000000,10750000000
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,2550000000,2550000000,10700000000
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,2600000000,2600000000,2600000000
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,2600000000,2600000000,15400000000
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,2550000000,2550000000,8950000000
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,2600000000,2600000000,2600000000
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,2300000000,2300000000,9110000000
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_RAW,2250000000,2250000000,9110000000
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__RECOVERY_DISABLED,2300000000,2300000000,2310000000
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_RAW,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__RECOVERY_DISABLED,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,6800000000,,6800000000
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_RAW,2150000000,2150000000,8550000000
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__RECOVERY_DISABLED,6800000000,,6800000000
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_RAW,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,3300000000,,3300000000
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,2600000000,,2600000000
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_RAW,2600000000,,2600000000
