task_id,condition,rollout_index,env_seed,source
transport_dual_order,A_first,0,20260920,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,1,20260921,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,2,20260922,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,3,20260923,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,4,20260924,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,5,20260925,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,6,20260926,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,7,20260927,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,8,20260928,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,9,20260929,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,10,20260930,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,11,20260931,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,12,20260932,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,13,20260933,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,14,20260934,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,15,20260935,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,16,20260936,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,17,20260937,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,18,20260938,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,19,20260939,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,20,20260940,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,21,20260941,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,22,20260942,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,23,20260943,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,24,20260944,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,25,20260945,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,26,20260946,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,27,20260947,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,28,20260948,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,29,20260949,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,30,20260950,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,31,20260951,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,32,20260952,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,33,20260953,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,34,20260954,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,35,20260955,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,36,20260956,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,37,20260957,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,38,20260958,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,39,20260959,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,40,20260960,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,41,20260961,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,42,20260962,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,43,20260963,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,44,20260964,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,45,20260965,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,46,20260966,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,47,20260967,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,48,20260968,recovered_from_frozen_test_rollouts
transport_dual_order,A_first,49,20260969,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,0,20260920,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,1,20260921,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,2,20260922,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,3,20260923,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,4,20260924,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,5,20260925,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,6,20260926,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,7,20260927,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,8,20260928,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,9,20260929,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,10,20260930,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,11,20260931,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,12,20260932,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,13,20260933,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,14,20260934,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,15,20260935,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,16,20260936,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,17,20260937,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,18,20260938,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,19,20260939,recovered_from_frozen_test_rollouts
transport_dual_order,B_first,20,20260940,recovered_from_frozen_test_rollouts
