budget,repeat,num_success,num_failure,spearman,kendall,top_jaccard
5,0,3,2,0.04751885359303367,0.03283158813263525,0.11764705882352941
5,1,2,3,0.26172076336706185,0.17702879581151834,0.15151515151515152
5,2,3,2,0.06336468816970947,0.0368673647469459,0.07042253521126761
5,3,5,0,0.1046408322708407,0.07002617801047122,0.20634920634920634
5,4,4,1,0.20099422184846596,0.13928883071553227,0.16923076923076924
5,5,5,0,-0.005761196864064238,-0.0058900523560209425,0.08571428571428572
5,6,4,1,0.38021525649024773,0.2671247818499128,0.2459016393442623
5,7,5,0,0.15868892927868056,0.11005671902268761,0.13432835820895522
5,8,2,3,0.458866275126821,0.3155541012216405,0.15151515151515152
5,9,5,0,0.011459661449149554,0.00599912739965096,0.07042253521126761
5,10,5,0,0.14592545370696908,0.10154886561954625,0.15151515151515152
5,11,3,2,0.2912235846241489,0.20298865619546247,0.15151515151515152
5,12,5,0,0.22144494479559454,0.15292321116928448,0.22580645161290322
5,13,5,0,0.09485968315112715,0.06162739965095986,0.08571428571428572
5,14,3,2,0.17707965982150123,0.12161867364746946,0.11764705882352941
5,15,2,3,0.6096407644521609,0.43510034904013967,0.3103448275862069
5,16,3,2,0.23530708298293684,0.16448516579406633,0.10144927536231885
5,17,3,2,0.3136596994276104,0.2173865619546248,0.1875
5,18,5,0,0.23695507690638312,0.16383071553228623,0.22580645161290322
5,19,4,1,0.26431482787619026,0.1888089005235602,0.16923076923076924
10,0,9,1,0.34248094295092646,0.2369109947643979,0.2459016393442623
10,1,6,4,0.30089961478989774,0.21106020942408377,0.16923076923076924
10,2,8,2,0.37098852507934793,0.2580715532286213,0.20634920634920634
10,3,7,3,0.33456311206358685,0.23505671902268763,0.26666666666666666
10,4,6,4,0.4296364240566422,0.29908376963350786,0.15151515151515152
10,5,7,3,0.30491956704554707,0.2143324607329843,0.1875
10,6,4,6,0.38157841195778974,0.2718150087260035,0.20634920634920634
10,7,7,3,0.40273275370968187,0.27595986038394416,0.1875
10,8,6,4,0.34638390798361507,0.23505671902268763,0.16923076923076924
10,9,6,4,0.3754069120798633,0.2581806282722513,0.15151515151515152
10,10,6,4,0.14837201258714702,0.10318499127399651,0.16923076923076924
10,11,7,3,0.39408417654558775,0.28043193717277487,0.2459016393442623
10,12,5,5,0.4133785909991049,0.28523123909249565,0.16923076923076924
10,13,7,3,0.2991634565824811,0.2012434554973822,0.16923076923076924
10,14,9,1,0.1415274123104468,0.09696771378708552,0.15151515151515152
10,15,7,3,0.5712808235900497,0.3979057591623037,0.1875
10,16,8,2,0.19895287958115185,0.1387434554973822,0.13432835820895522
10,17,5,5,0.38243123185850314,0.2713787085514834,0.288135593220339
10,18,9,1,0.25646312020182843,0.17604712041884818,0.16923076923076924
