rollout_id,root_family_id,case_id,requested_effect,source,first_action_time,request_received_time,valid,reasons,outcome_encoded
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,L2RAR2_SELECT_05_820005,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K4_regular_hold_loss,L2RAR2_SELECT_05_820005,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K5_brief_hold_loss,L2RAR2_SELECT_05_820005,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K6_long_gap_after_loss,L2RAR2_SELECT_05_820005,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K7_commanded_release,L2RAR2_SELECT_05_820005,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold,L2RAR2_SELECT_06_820006,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K2_touch_request_completes_without_hold,L2RAR2_SELECT_06_820006,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K3_normal_hold_pause_resume,L2RAR2_SELECT_06_820006,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K4_regular_hold_loss,L2RAR2_SELECT_06_820006,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K5_brief_hold_loss,L2RAR2_SELECT_06_820006,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K6_long_gap_after_loss,L2RAR2_SELECT_06_820006,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K7_commanded_release,L2RAR2_SELECT_06_820006,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_06_820006:K8_acquisition_touch_then_continue,L2RAR2_SELECT_06_820006,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold,L2RAR2_SELECT_07_820007,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K3_normal_hold_pause_resume,L2RAR2_SELECT_07_820007,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K4_regular_hold_loss,L2RAR2_SELECT_07_820007,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K5_brief_hold_loss,L2RAR2_SELECT_07_820007,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K6_long_gap_after_loss,L2RAR2_SELECT_07_820007,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K7_commanded_release,L2RAR2_SELECT_07_820007,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
