method,events,root_families,positive_events,positive_correct,K1_recall,K4_recall,K5_recall,K6_recall,wrong_or_unknown_positive_rate,K2_false_emergency_rate,K3_false_emergency_rate,K7_false_emergency_rate,K8_false_emergency_rate,premature_emergency_rate,any_conflict_rollout_rate,event_window_conflict_rate,unjustified_definite_on_missing_history_rate,unjustified_retry_on_missing_context_rate,regular_hold_evidence_rate,brief_hold_evidence_rate,touch_false_hold_evidence_rate,pause_hold_retention_rate,correct_detection_delay_p95_seconds,delay_observed_count,positive_missed_count,per_case_support,request_provenance_all,reference_unresolved
D0_generic_attempt_end,45,8,18,17,1.0,1.0,0.75,1.0,0.05555555555555555,1.0,0.0,0.0,0.25,0.0,0.0,0.0,,,1.0,0.75,0.25,1.0,0.10000000000000009,17,1,"{""K1_hold_request_ends_without_hold"": {""events"": 8, ""root_families"": 8}, ""K2_touch_request_completes_without_hold"": {""events"": 8, ""root_families"": 8}, ""K3_normal_hold_pause_resume"": {""events"": 3, ""root_families"": 3}, ""K4_regular_hold_loss"": {""events"": 3, ""root_families"": 3}, ""K5_brief_hold_loss"": {""events"": 4, ""root_families"": 4}, ""K6_long_gap_after_loss"": {""events"": 3, ""root_families"": 3}, ""K7_commanded_release"": {""events"": 8, ""root_families"": 8}, ""K8_acquisition_touch_then_continue"": {""events"": 8, ""root_families"": 8}}",True,19
M1_requested_effect_gate,45,8,18,17,1.0,1.0,0.75,1.0,0.05555555555555555,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1.0,0.10000000000000009,17,1,"{""K1_hold_request_ends_without_hold"": {""events"": 8, ""root_families"": 8}, ""K2_touch_request_completes_without_hold"": {""events"": 8, ""root_families"": 8}, ""K3_normal_hold_pause_resume"": {""events"": 3, ""root_families"": 3}, ""K4_regular_hold_loss"": {""events"": 3, ""root_families"": 3}, ""K5_brief_hold_loss"": {""events"": 4, ""root_families"": 4}, ""K6_long_gap_after_loss"": {""events"": 3, ""root_families"": 3}, ""K7_commanded_release"": {""events"": 8, ""root_families"": 8}, ""K8_acquisition_touch_then_continue"": {""events"": 8, ""root_families"": 8}}",True,19
