rollout_id,root_family_id,case_id,time,capture_order,source_phase,front_path,front_sha256,attempt_id,attempt_phase,attempt_active,attempt_end,attempt_end_reason,contact_present,gripper_command,object_centroid,gripper_centroid,object_confidence,gripper_confidence,observation_masked,hold_evidence,hold_memory,effective_motion_interval,object_displacement_norm,gripper_displacement_norm,direction_cosine,relative_vector_error,nearest_action_end_time,action_end_alignment_seconds
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.55,13,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00013.jpg,0e4334533f94a667964989ee1427d2e037d8faca6284b9de980cd5c39fd827f1,1,post_contact_motion,True,False,,False,closed,"[67.55434782608695,80.8586956521739]","[67.15422885572139,76.36691542288557]",0.7666666666666667,0.8933333333333333,False,false,false,True,0.009820267588211746,0.013724300050722199,0.973370145809142,0.20110522934824676,0.45,0.10000000000000003
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.6,15,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00015.jpg,d7de0133a043200de386607fbd325f806957129ef1334eef45213ff3c941eccc,1,ended,False,True,segment_complete,False,closed,"[69.85714285714286,71.75396825396825]","[66.0130293159609,80.46036916395222]",0.7,1.0,False,false,false,True,0.039130951346863944,0.01770647045093679,-0.9997082769332156,0.9999374297131493,0.6,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.05,0,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00000.jpg,48b8f5d5943be4b137bdb4405118a66b15621ffe48d71769563c429ae450c7a2,1,inactive,False,False,,False,open,"[67.10828025477707,79.11677282377919]","[65.21231422505308,72.21549893842887]",1.0,1.0,False,false,false,False,,,,,,
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.1,1,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00001.jpg,6446d3c7aa8ea0d46202426b56c0f58442476fd8e40c64a9378480bf399ae427,1,inactive,False,False,,False,open,"[67.10828025477707,79.11677282377919]","[65.08811040339702,72.22505307855626]",1.0,1.0,False,false,false,True,0.0,0.0005190447774842971,,,,
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.15,3,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00003.jpg,0dd9adec54ca0159a45641c50d0306da3b8883d9f9a02682c6c4c49e26b78bf9,1,inactive,False,False,,False,open,"[67.10828025477707,79.11677282377919]","[65.1072186836518,72.22505307855626]",1.0,1.0,False,false,false,True,0.0,7.961783439487391e-05,,,0.15,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.2,4,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00004.jpg,7c6dc3758a7fbc1430431caf4c7e17f37c849a15cc2030b039c61951b9b2a3c3,1,acquiring,True,False,,False,open,"[67.53439153439153,79.19753086419752]","[65.88624338624338,71.53042328042326]",1.0,0.84,False,false,false,True,0.0018070688921627332,0.004348910391356887,0.6093994542128407,0.5766235383323667,0.15,0.05000000000000002
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.25,5,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00005.jpg,5a1ea756805b7ef8efd3246ecbf41ce08551ba848e73c248d03084072f840843,1,acquiring,True,False,,False,open,"[68.06734006734006,77.68013468013467]","[66.77631578947368,70.89181286549707]",1.0,0.76,False,false,false,True,0.006701115835488384,0.004564453814997213,0.8192653758917852,0.35083995853622674,0.15,0.1
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.3,6,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00006.jpg,7656d6173ff5ba0122d679a34e85b413d4ea750952054e31a48a30f158e98472,1,acquiring,True,False,,False,open,"[68.73366013071895,77.92647058823529]","[68.53275109170306,70.5589519650655]",1.0,0.7633333333333333,False,false,false,True,0.0029599872327550677,0.007448738416151562,0.856987585714218,0.4941491543726642,0.15,0.15
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.35,8,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00008.jpg,4b26009a4b7dc538d63a75e2fc6b025528ce273661e86933f5fd24726fb76edf,1,acquiring,True,False,,False,open,"[69.08333333333333,78.64545454545454]","[70.03799654576856,69.04835924006908]",1.0,0.6433333333333333,False,false,false,True,0.0033312735285943463,0.008885512414291656,-0.3283048103301784,0.8564877444174467,0.35,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.4,9,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00009.jpg,56f4353776b012e474d39253293655c67c2cc90a760b1c37ea277d240714544f,1,acquiring,True,False,,True,closed,"[69.0669710806697,78.67427701674276]","[70.03799654576856,69.04835924006908]",1.0,0.6433333333333333,False,unknown,false,True,0.00013809581538011623,0.0,,,0.35,0.050000000000000044
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.45,11,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00011.jpg,061ea9a6dfdfc608247daccbbb3ce22a1a0f122a84151909082adbac5c8c5746,1,acquiring,True,False,,True,closed,"[69.02576489533011,78.49919484702093]","[69.98514851485149,69.17161716171617]",1.0,0.6733333333333333,False,true,true,True,0.0007494409474821474,0.0005587906960784591,,,0.45,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.5,12,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00012.jpg,d13d4fb48089d316b25769edff346c08d28bf423cafd2b485dfe2db3f6ba33ba,1,post_contact_motion,True,False,,True,closed,"[68.82444444444444,78.87333333333333]","[68.24592592592592,73.25925925925925]",1.0,0.75,False,false,true,True,0.0017702672177691502,0.018509435061871603,0.9958282902626847,0.8258174441979895,0.45,0.04999999999999999
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.55,13,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00013.jpg,0e4334533f94a667964989ee1427d2e037d8faca6284b9de980cd5c39fd827f1,1,post_contact_motion,True,False,,False,closed,"[67.55434782608695,80.8586956521739]","[67.15422885572139,76.36691542288557]",0.7666666666666667,0.8933333333333333,False,false,false,True,0.009820267588211746,0.013724300050722199,0.973370145809142,0.20110522934824676,0.45,0.10000000000000003
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.6,15,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00015.jpg,d7de0133a043200de386607fbd325f806957129ef1334eef45213ff3c941eccc,1,post_contact_motion,True,False,,False,closed,"[69.85714285714286,71.75396825396825]","[66.0130293159609,80.46036916395222]",0.7,1.0,False,false,false,True,0.039130951346863944,0.01770647045093679,-0.9997082769332156,0.9999374297131493,0.6,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.65,16,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00016.jpg,407ec3b0da5f72b44b6acf2105beb7db299f04f1aee0ff42d519eb1980c74e4c,1,acquiring,True,False,,False,closed,"[67.14871794871794,81.63076923076923]","[66.88389513108615,77.52933832709112]",0.5416666666666666,0.89,False,false,false,True,0.04267259948577652,0.012740293850848947,-0.999775920880808,0.9999603249856913,0.6,0.050000000000000044
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.7,17,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00017.jpg,72ebddc82e65ce548ba46fd2e7745640c044c9f595ecad5ed254a131a5a8e303,1,acquiring,True,False,,False,closed,"[68.33879781420764,80.98087431693989]","[67.73066666666665,74.93733333333333]",1.0,0.8333333333333334,False,false,false,True,0.005649873224464518,0.011361722960484957,0.7281335984820458,0.48305777494614205,0.6,0.09999999999999998
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.75,18,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00018.jpg,d49f61594e44f3722e71624fa2420f76fde43ae201665d1794cdef70b11ec47c,1,acquiring,True,False,,True,closed,"[68.99800399201597,79.23353293413173]","[68.41184573002754,72.69972451790633]",1.0,0.8066666666666666,False,false,false,True,0.0077814713745111685,0.00974581296067934,0.9978724151729975,0.11666562456999897,0.6,0.15000000000000002
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.8,20,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00020.jpg,12e5865c25f196cda78f9e21316f441bac6fc7526811b9fe4c80ab116ac45ceb,1,acquiring,True,False,,True,closed,"[69.07878787878788,78.69696969696969]","[69.87478849407783,69.11844331641285]",1.0,0.6566666666666666,False,false,false,True,0.0022608770415812264,0.016119010825222525,0.9717231341057894,0.7580185400325558,0.8,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.85,21,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00021.jpg,bcaa58c4e4a7d479f47a8da05abbd4c837864e119c0d0902d5a836575ef011e1,1,settling,True,False,,True,closed,"[69.06184012066365,78.6681749622926]","[69.98514851485149,69.17161716171617]",1.0,0.6733333333333333,False,false,false,True,0.00013921676060504,0.0005104258844321226,,,0.8,0.04999999999999993
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.9,23,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00023.jpg,76947904c2e38a1f8dfc415ebfd7ff375fb9023f254a0d5816bbd9551b43edeb,1,settling,True,False,,True,closed,"[69.12903225806451,78.73118279569891]","[69.94607843137256,69.12581699346406]",1.0,0.68,False,unknown,false,True,0.00038380338931575617,0.000250836338401599,,,0.9,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.95,24,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00024.jpg,e6fd1f38c9c4b007fbd78d1f9cee88bb849f5c62be747e995840324f4691dca8,1,post_contact_motion,True,False,,True,closed,"[68.88394062078272,74.83940620782725]","[68.91873963515754,65.98341625207297]",1.0,0.67,False,true,true,True,0.016247860393634364,0.013775297071373064,0.9681455774538875,0.15033817496713917,0.9,0.04999999999999993
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,1.0,25,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00025.jpg,ab48052242004f1e88d2cdde4094608235b288ae7dcc8235c16ffe3fe1a2a56f,1,post_contact_motion,True,False,,True,closed,"[68.85871056241426,70.71467764060355]","[68.35628019323671,61.6207729468599]",1.0,0.92,False,true,true,True,0.017186690541098816,0.01832813242153222,0.992554771675661,0.068932867411943,0.9,0.09999999999999998
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,1.05,26,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00026.jpg,b49a3e6c71ab2d19b265017e39d4dd01ec57680e971d26fe4f3192c2152c7bd7,1,post_contact_motion,True,False,,True,closed,"[68.57414448669202,67.39670468948034]","[68.44144144144144,56.88288288288288]",1.0,1.0,False,false,true,True,0.01387563959726848,0.019744397366601923,0.9946457356681829,0.18184390902446235,0.9,0.15000000000000002
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,1.1,28,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00028.jpg,b4ade836883f88f6cf73fab9a2d8c3edb82faec7256d25913761c66a4cf4a3aa,1,post_contact_motion,True,False,,True,closed,"[68.02429149797571,63.14304993252361]","[68.40524781341108,52.46550048590864]",1.0,1.0,False,unknown,true,True,0.017871025733683397,0.018406377791391832,0.992765490192387,0.06192125180987204,1.1,0.0
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,1.15,29,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00029.jpg,b4ade836883f88f6cf73fab9a2d8c3edb82faec7256d25913761c66a4cf4a3aa,1,post_contact_motion,True,False,,True,closed,"[68.02429149797571,63.14304993252361]","[68.40524781341108,52.46550048590864]",1.0,1.0,False,true,true,True,0.0,0.0,,,1.1,0.04999999999999982
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,1.2,30,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00030.jpg,b4ade836883f88f6cf73fab9a2d8c3edb82faec7256d25913761c66a4cf4a3aa,1,post_contact_motion,True,False,,True,closed,"[68.02429149797571,63.14304993252361]","[68.40524781341108,52.46550048590864]",1.0,1.0,False,true,true,True,0.0,0.0,,,1.1,0.09999999999999987
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,1.25,32,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K8_acquisition_touch_then_continue/rgb/front/frame_00032.jpg,b4ade836883f88f6cf73fab9a2d8c3edb82faec7256d25913761c66a4cf4a3aa,1,ended,False,True,segment_complete,True,closed,"[68.02429149797571,63.14304993252361]","[68.40524781341108,52.46550048590864]",1.0,1.0,False,true,true,True,0.0,0.0,,,1.25,0.0
L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,0.05,0,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_07_820007/K2_touch_request_completes_without_hold/rgb/front/frame_00000.jpg,f77096658658cffbbfd506eac7a4afe173da7ca420c0623467a0ec7459dcfcd1,1,inactive,False,False,,False,open,"[65.06338028169014,78.72769953051642]","[62.77995642701524,72.3115468409586]",1.0,1.0,False,false,false,False,,,,,,
