method_id,task_id,suite,provenance,metric,n_parent_groups,n_events,value,ci_low,ci_high,status,reason,input_id,checkpoint_sha256,scorer_version,split_version,label_source
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
manual_graph_topology_v3,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942123033353507,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_A_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-1.3515199144709866,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_B_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7311169955350652,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
manual_graph_topology_v3,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.694219675914407,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_A_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-1.3515304269885204,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_B_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7311286007547002,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
manual_graph_topology_v3,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942162759377144,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_A_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-1.3515256041429367,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_B_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7311232236702065,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
manual_graph_topology_v3,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942161390314763,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_A_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-1.3515254135826136,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_B_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.731123003511815,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
manual_graph_topology_v3,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942110225826656,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
learned_fixed_chain_proxy_A_first,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-1.3515181009686734,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v3,legacy_existing,none
