job_id	status
baseline__s20260906__transport_recovery	PASS
baseline__s20260906__transport_dual_order	PASS
baseline__s20260907__transport_recovery	PASS
baseline__s20260907__transport_dual_order	PASS
baseline__s20260908__transport_recovery	PASS
baseline__s20260908__transport_dual_order	PASS
history_dropout_0.10__s20260906__transport_recovery	PASS
history_dropout_0.10__s20260906__transport_dual_order	PASS
history_dropout_0.10__s20260907__transport_recovery	PASS
history_dropout_0.10__s20260907__transport_dual_order	PASS
history_dropout_0.10__s20260908__transport_recovery	PASS
history_dropout_0.10__s20260908__transport_dual_order	PASS
history_dropout_0.25__s20260906__transport_recovery	PASS
history_dropout_0.25__s20260906__transport_dual_order	PASS
history_dropout_0.25__s20260907__transport_recovery	PASS
history_dropout_0.25__s20260907__transport_dual_order	PASS
history_dropout_0.25__s20260908__transport_recovery	PASS
history_dropout_0.25__s20260908__transport_dual_order	PASS
history_dropout_0.50__s20260906__transport_recovery	PASS
history_dropout_0.50__s20260906__transport_dual_order	PASS
history_dropout_0.50__s20260907__transport_recovery	PASS
history_dropout_0.50__s20260907__transport_dual_order	PASS
history_dropout_0.50__s20260908__transport_recovery	PASS
history_dropout_0.50__s20260908__transport_dual_order	PASS
feature_noise_0.02__s20260906__transport_recovery	PASS
feature_noise_0.02__s20260906__transport_dual_order	PASS
feature_noise_0.02__s20260907__transport_recovery	PASS
feature_noise_0.02__s20260907__transport_dual_order	PASS
feature_noise_0.02__s20260908__transport_recovery	PASS
feature_noise_0.02__s20260908__transport_dual_order	PASS
feature_noise_0.05__s20260906__transport_recovery	PASS
feature_noise_0.05__s20260906__transport_dual_order	PASS
feature_noise_0.05__s20260907__transport_recovery	PASS
feature_noise_0.05__s20260907__transport_dual_order	PASS
feature_noise_0.05__s20260908__transport_recovery	PASS
feature_noise_0.05__s20260908__transport_dual_order	PASS
feature_noise_0.10__s20260906__transport_recovery	PASS
feature_noise_0.10__s20260906__transport_dual_order	PASS
feature_noise_0.10__s20260907__transport_recovery	PASS
feature_noise_0.10__s20260907__transport_dual_order	PASS
feature_noise_0.10__s20260908__transport_recovery	PASS
feature_noise_0.10__s20260908__transport_dual_order	PASS
boundary_jitter_2__s20260906__transport_recovery	PASS
boundary_jitter_2__s20260906__transport_dual_order	PASS
boundary_jitter_2__s20260907__transport_recovery	PASS
boundary_jitter_2__s20260907__transport_dual_order	PASS
boundary_jitter_2__s20260908__transport_recovery	PASS
boundary_jitter_2__s20260908__transport_dual_order	PASS
boundary_jitter_5__s20260906__transport_recovery	PASS
boundary_jitter_5__s20260906__transport_dual_order	PASS
boundary_jitter_5__s20260907__transport_recovery	PASS
boundary_jitter_5__s20260907__transport_dual_order	PASS
boundary_jitter_5__s20260908__transport_recovery	PASS
boundary_jitter_5__s20260908__transport_dual_order	PASS
boundary_jitter_10__s20260906__transport_recovery	PASS
boundary_jitter_10__s20260906__transport_dual_order	PASS
boundary_jitter_10__s20260907__transport_recovery	PASS
boundary_jitter_10__s20260907__transport_dual_order	PASS
boundary_jitter_10__s20260908__transport_recovery	PASS
boundary_jitter_10__s20260908__transport_dual_order	PASS
