job_id	setting	history_dropout	feature_noise_std_fraction	event_boundary_jitter_steps	seed	task_id	status	provenance
baseline__s20260906__transport_recovery	baseline	0	0	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
baseline__s20260906__transport_dual_order	baseline	0	0	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
baseline__s20260907__transport_recovery	baseline	0	0	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
baseline__s20260907__transport_dual_order	baseline	0	0	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
baseline__s20260908__transport_recovery	baseline	0	0	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
baseline__s20260908__transport_dual_order	baseline	0	0	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.10__s20260906__transport_recovery	history_dropout_0.10	0.1	0	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.10__s20260906__transport_dual_order	history_dropout_0.10	0.1	0	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.10__s20260907__transport_recovery	history_dropout_0.10	0.1	0	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.10__s20260907__transport_dual_order	history_dropout_0.10	0.1	0	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.10__s20260908__transport_recovery	history_dropout_0.10	0.1	0	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.10__s20260908__transport_dual_order	history_dropout_0.10	0.1	0	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.25__s20260906__transport_recovery	history_dropout_0.25	0.25	0	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.25__s20260906__transport_dual_order	history_dropout_0.25	0.25	0	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.25__s20260907__transport_recovery	history_dropout_0.25	0.25	0	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.25__s20260907__transport_dual_order	history_dropout_0.25	0.25	0	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.25__s20260908__transport_recovery	history_dropout_0.25	0.25	0	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.25__s20260908__transport_dual_order	history_dropout_0.25	0.25	0	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.50__s20260906__transport_recovery	history_dropout_0.50	0.5	0	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.50__s20260906__transport_dual_order	history_dropout_0.50	0.5	0	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.50__s20260907__transport_recovery	history_dropout_0.50	0.5	0	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.50__s20260907__transport_dual_order	history_dropout_0.50	0.5	0	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
history_dropout_0.50__s20260908__transport_recovery	history_dropout_0.50	0.5	0	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
history_dropout_0.50__s20260908__transport_dual_order	history_dropout_0.50	0.5	0	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
