scenario,rollouts,families,legacy_ambiguous_rollouts,any_raw_overlap_rollouts,overlap_frames,valid_observation_frames,legacy_ambiguous_rollout_rate,any_raw_overlap_rollout_rate
already_on_target_offcenter,12,3,0,0,0,156,0.0,0.0
already_satisfied_stable,12,3,0,0,0,84,0.0,0.0
distractor_object_ambiguity,12,3,0,0,0,126,0.0,0.0
missed_grasp_then_retry,12,3,0,0,0,168,0.0,0.0
normal_pick_place,12,3,0,0,0,156,0.0,0.0
primary_view_occlusion,12,3,0,0,0,156,0.0,0.0
slip_then_recover,12,3,12,12,12,192,1.0,1.0
target_occupied,12,3,0,0,0,168,0.0,0.0
