episode_id,task,SPARSE_TERMINAL_signed,SPARSE_TERMINAL_pos,LINEAR_A_FIRST_R1_signed,LINEAR_A_FIRST_R1_pos,LINEAR_B_FIRST_R1_signed,LINEAR_B_FIRST_R1_pos,UNORDERED_VALID_COUNT_signed,UNORDERED_VALID_COUNT_pos,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_signed,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_pos,GRAPH_COST_ONLY_signed,GRAPH_COST_ONLY_pos,FULL_FROZEN_signed,FULL_FROZEN_pos,V6_CAP_POTENTIAL_signed,V6_CAP_POTENTIAL_pos,A_minus_B,v6_minus_count,v6_minus_event
P1V5_F05_920005__D4_B_done_A_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5721874347081333,0.0,-0.25,-0.25
P1V5_F05_920005__D5_completed_subgoal_invalidated_restored,dual_order,1.0,1.0,1.0,1.3333333333333335,1.0,1.0,1.0,1.5,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.974198802609193,0.0,-0.25,-0.25
P1V5_F05_920005__D6_repeat_completed_subgoal_then_terminal_failure,dual_order,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,1.0,0.5,1.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0825258955532415,0.3333333333333333,-0.16666666666666669,-0.16666666666666669
P1V5_F05_920005__R1_clean_transport_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.1378426616666657,1.3045093283333324,0.6666666666666666,0.9983851298743848,,-0.33333333333333337,-0.33333333333333337
P1V5_F05_920005__R2_loss_at_40pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,0.9361265449675384,1.6027932116342052,0.6666666666666666,1.5632519094190436,,-0.33333333333333337,-0.33333333333333337
P1V5_F05_920005__R3_loss_at_80pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,1.1044181307172276,1.7710847973838943,0.6666666666666666,1.628566769880324,,-0.33333333333333337,-0.33333333333333337
P1V5_F05_920005__R4_three_cycles_at_40pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.5382040980820846,3.890953462168664,0.6666666666666666,3.495163487858455,,-0.33333333333333337,-0.33333333333333337
P1V5_F05_920005__R5_three_cycles_at_80pct_then_success,recovery,3.0,3.0,,,,,1.0,3.0,1.0,6.0,0.6666666666666667,3.3333333333333335,1.8317309468585659,4.548744664970054,0.6666666666666665,3.906239808894154,,-0.3333333333333335,-0.3333333333333335
P1V5_F05_920005__R6_three_closed_cycles_then_stop,recovery,0.0,0.0,,,,,0.0,0.0,0.0,3.0,0.3333333333333334,2.5,0.9002330433313109,3.086315740751224,0.3974600300709531,2.893617017550767,,0.3974600300709531,0.3974600300709531
P1V5_F05_920005__R7_loss_recovery_started_not_completed_terminal,recovery,0.0,0.0,,,,,0.0,0.0,-1.0,0.0,-0.16666666666666669,0.3333333333333333,0.027685468630383403,0.5276854686303833,-0.16666666666666674,0.39811681339640725,,-0.16666666666666674,0.8333333333333333
