episode_id,method,signed_return,positive_weight_sum,n,nonzero_pos
P1V5_F00_920000__D1_A_then_B_clean_success,FULL_FROZEN,0.75,0.75,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_PHI,0.75,0.75,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_DEBT,0.75,0.75,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_ONLY,0.75,0.75,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,0.75,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,PAIRED_EVENT_BALANCED,0.0,0.0,131,0
P1V5_F00_920000__D1_A_then_B_clean_success,V6_CAP_COST_ONLY,0.75,1.0833333333333333,131,6
P1V5_F00_920000__D1_A_then_B_clean_success,V6_CAP_WITHIN_PHI_ABLATION,0.7763948342321314,1.1097281675654647,131,22
P1V5_F00_920000__D1_A_then_B_clean_success,V6_CAP_POTENTIAL,0.75,1.248385306463074,131,22
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_A_FIRST_R1,1.0,1.0,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_B_FIRST_R1,1.0,1.0,131,1
P1V5_F00_920000__D1_A_then_B_clean_success,UNORDERED_R1,1.0,1.0,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,SPARSE_TERMINAL,1.0,1.0,131,1
P1V5_F00_920000__D1_A_then_B_clean_success,UNORDERED_VALID_COUNT,1.0,1.0,131,2
P1V5_F00_920000__D1_A_then_B_clean_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.0,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,FULL_FROZEN,0.75,0.75,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_PHI,0.75,0.75,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_DEBT,0.75,0.75,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_ONLY,0.75,0.75,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,0.75,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,PAIRED_EVENT_BALANCED,0.0,0.0,131,0
P1V5_F00_920000__D2_B_then_A_clean_success,V6_CAP_COST_ONLY,0.75,1.0833333333333333,131,6
P1V5_F00_920000__D2_B_then_A_clean_success,V6_CAP_WITHIN_PHI_ABLATION,0.7763949024843892,1.1097282358177225,131,22
P1V5_F00_920000__D2_B_then_A_clean_success,V6_CAP_POTENTIAL,0.75,1.2483853022877691,131,22
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_A_FIRST_R1,1.0,1.0,131,1
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_B_FIRST_R1,1.0,1.0,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,UNORDERED_R1,1.0,1.0,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,SPARSE_TERMINAL,1.0,1.0,131,1
P1V5_F00_920000__D2_B_then_A_clean_success,UNORDERED_VALID_COUNT,1.0,1.0,131,2
P1V5_F00_920000__D2_B_then_A_clean_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.0,131,2
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,FULL_FROZEN,0.75,1.0,171,3
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_PHI,0.75,1.0,171,3
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,1.0,171,3
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,1.0,171,3
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,171,3
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,PAIRED_EVENT_BALANCED,0.0,1.0,171,1
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,V6_CAP_COST_ONLY,0.75,1.3333333333333333,171,8
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.7754237094127161,1.3587570427460494,171,25
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,V6_CAP_POTENTIAL,0.75,1.5722329217418194,171,25
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_A_FIRST_R1,1.0,1.0,171,2
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_B_FIRST_R1,1.0,1.0,171,1
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,UNORDERED_R1,1.0,1.0,171,2
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171,1
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,UNORDERED_VALID_COUNT,1.0,1.0,171,2
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.5,171,3
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,FULL_FROZEN,0.75,1.0,171,3
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_PHI,0.75,1.0,171,3
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,1.0,171,3
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,1.0,171,3
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,171,3
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,PAIRED_EVENT_BALANCED,0.0,1.0,171,1
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,V6_CAP_COST_ONLY,0.75,1.3333333333333333,171,8
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.7755238650820317,1.358857198415365,171,25
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,V6_CAP_POTENTIAL,0.75,1.5722266259553983,171,25
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_A_FIRST_R1,1.0,1.0,171,1
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_B_FIRST_R1,1.0,1.0,171,2
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,UNORDERED_R1,1.0,1.0,171,2
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171,1
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,UNORDERED_VALID_COUNT,1.0,1.0,171,2
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.5,171,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,FULL_FROZEN,0.75,1.0,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_PHI,0.75,1.0,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_DEBT,0.75,1.0,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_ONLY,0.75,1.0,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,PAIRED_EVENT_BALANCED,0.0,0.0,259,0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,V6_CAP_COST_ONLY,0.75,1.6666666666666665,259,10
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,V6_CAP_WITHIN_PHI_ABLATION,0.7705293192899595,1.6981856553740693,259,34
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,V6_CAP_POTENTIAL,0.75,1.9768157066836005,259,34
