episode_id,return_time
P1V6RC1_970102_E2_LOSS_RETURN_P80_97110201_RC2_OBJECT_COMPENSATED_STAGED,0.02
P1V6RC1_970102_E3_THREE_RETURNS_P40_97110202_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970102_E4_THREE_RETURNS_P80_97110203_RC2_OBJECT_COMPENSATED_STAGED,0.02
P1V6RC1_970102_E5_REGRASP_OFFSET_LEFT_P40_97110204_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970102_E6_REGRASP_OFFSET_RIGHT_P40_97110205_RC2_OBJECT_COMPENSATED_STAGED,0.02
P1V6RC1_970102_E7_NO_LOSS_OUT_AND_BACK_97110206_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970102_E8_COMMANDED_RELEASE_CONTROL_97110207_RC2_OBJECT_COMPENSATED_STAGED,
P1V6RC1_970103_E1_LOSS_RETURN_P40_97110300_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970103_E2_LOSS_RETURN_P80_97110301_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970103_E3_THREE_RETURNS_P40_97110302_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970103_E4_THREE_RETURNS_P80_97110303_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970103_E5_REGRASP_OFFSET_LEFT_P40_97110304_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970103_E6_REGRASP_OFFSET_RIGHT_P40_97110305_RC2_OBJECT_COMPENSATED_STAGED,0.02
P1V6RC1_970103_E7_NO_LOSS_OUT_AND_BACK_97110306_RC2_OBJECT_COMPENSATED_STAGED,1.7800000000000011
P1V6RC1_970103_E8_COMMANDED_RELEASE_CONTROL_97110307_RC2_OBJECT_COMPENSATED_STAGED,
