job_id	draw	policy_seed	method	size_bytes	sha256	policy_state_dict_sha256	external_path
A_s347_FLAT	A	347	FLAT_CONTRACT_PBRS_V1	3139586	82d86c811e699a1d5943d56e4812e353410aed97799e2d5ad08dedc89700609f	393673af07f94da891b3207410abfe8ab9a878f59bc9db92adc040ef3f455d21	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s347_FLAT/checkpoints/policy_524288.zip
A_s347_GEOM	A	347	GEOM_COUNT_EVENTS_PBRS_V1	3139630	3f3a8b46340bf140d04a9d7b23681d61276cc4824eea02f02a99ebe7d4e6f116	f3a3e171bbb113bd2b9518d9528b6fd5e3420a8e7ecf3580e6aaefefbd41f82c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s347_GEOM/checkpoints/policy_524288.zip
A_s347_GRAPH1	A	347	PATHGRAPH_MODEL_FULL_PBRS_V1	3141913	db551e77e474b6ab93a08093f780ba3875c2bb7bf9efd8b935a0801816f55a68	a52b21ff30dfead7463a96cb8d74e14403ef84cb679c8380db5e398680389c0f	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s347_GRAPH1/checkpoints/policy_524288.zip
A_s347_RW2	A	347	PATHGRAPH_REMAINING_WORK_PBRS_V2	12837269	4e0375a91dc8f8f1ecd916de15d6da6127881cec88a741c6e3e6a26ca04ed642	fecf906eeaef2a149574ee7abe306819f8a619c43810839bdd13b1a71439d522	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s347_RW2/checkpoints/policy_524288.zip
A_s347_TASK	A	347	TASK_ONLY_ZERO_V1	3139445	aa27b21efdfaee82b845e50c5a65330bbcfff4813d7a890d709beae84cb4d331	2d30320785e2f81fd57ed4f83669d2080781db41815cef578899d755d35e5077	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s347_TASK/checkpoints/policy_524288.zip
A_s359_FLAT	A	359	FLAT_CONTRACT_PBRS_V1	3139553	f2f59531e813a100c9b4fcee3b897d99ae6d5ede829dfac7497b371dde95986f	cf2bc2d8e0f5e89df1bc42c42e8acc560a56c97f9482961d9aa30829c2ca3446	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s359_FLAT/checkpoints/policy_524288.zip
A_s359_GEOM	A	359	GEOM_COUNT_EVENTS_PBRS_V1	3146380	c88dc9ac08cd8f050126f099656e44745a236285e66dbc6f7784ffba7cada679	1a73ea7e59e2c619b045eccbbed8cfa34b92c06cb54b0e93f61b546672304375	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s359_GEOM/checkpoints/policy_524288.zip
A_s359_GRAPH1	A	359	PATHGRAPH_MODEL_FULL_PBRS_V1	3142329	2b496aa740f4a5c193449d57ee63a2134aaa5a6b1d79db6503b8f248491caabb	4b0cf19bb80dd5ced36f7fe7a7d1587fb339c8a0063b62be3d0fb02d56ee60a2	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s359_GRAPH1/checkpoints/policy_524288.zip
A_s359_RW2	A	359	PATHGRAPH_REMAINING_WORK_PBRS_V2	12782252	8f59616029448aa411a2df355f8597ccf98d7e5c3e7a30f76e858f4380342e72	2f5c5a386889c34bf6ba9ca9952a53a78de7a2f53ff3af9c706dd3a1ea5028c2	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s359_RW2/checkpoints/policy_524288.zip
A_s359_TASK	A	359	TASK_ONLY_ZERO_V1	3138928	dee087a169b5e7b0633afbf93540ccfa662b649e7644d6c147677845fcc91b4f	f783d9fbfb8d32e5c1287063629d7c89e0b596c3a64cc22331ab4025f8f7f27b	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s359_TASK/checkpoints/policy_524288.zip
B_s317_FLAT	B	317	FLAT_CONTRACT_PBRS_V1	3139567	7d0e273281b0f3f41f2143f61fb61939e87b98c11ad18dc21c1986d7157acee0	f38c5201de0819f0d9027eba96459ab8dc9d242719ff5b04a8afa68fb9ace175	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s317_FLAT/checkpoints/policy_524288.zip
B_s317_GEOM	B	317	GEOM_COUNT_EVENTS_PBRS_V1	3139737	d821c5a76aa412ccd600860d10d1a3638296ab93f29277b7fc15a2539cb7866a	9558b799dc3e32232e060b3576e0f88229faec72affc6e3e8814c6b5d80445a4	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s317_GEOM/checkpoints/policy_524288.zip
B_s317_GRAPH1	B	317	PATHGRAPH_MODEL_FULL_PBRS_V1	3139614	00d9e0d018673ff49a96bd6b6a84aab80baa0d8d255927a80262948a5cf1df6e	31e3bc04743983188f844a285231d47e5b171148ed0be256a7645d8e110eb09c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s317_GRAPH1/checkpoints/policy_524288.zip
B_s317_RW2	B	317	PATHGRAPH_REMAINING_WORK_PBRS_V2	12892131	c6e5d21735fd273fad8a3bcc9072ced9ef48fbaa6a34bd05e113b38e5025c643	59499d079dd2247c43a511a9184cb3c7812e24af1adb1bdbfad1b93e6786328c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s317_RW2/checkpoints/policy_524288.zip
B_s317_TASK	B	317	TASK_ONLY_ZERO_V1	3139007	5a6f7b603c3b1ab25faeb0a17ff872ca675613b6e5db42664857e900fdb41e96	d83b204f4d8794b9b357b752e1a23d5fd76faeb107440cf8d8620ad274fa943a	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s317_TASK/checkpoints/policy_524288.zip
B_s331_FLAT	B	331	FLAT_CONTRACT_PBRS_V1	3139340	207877fcbe2d66bafaa05f000992c8934a4ea33f3012c3f21dcd294e25bc846d	ef5a9b0245f4b71875d531f275de82ddc96c0eec9f7f6942be80f4f1a5e4c598	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s331_FLAT/checkpoints/policy_524288.zip
B_s331_GEOM	B	331	GEOM_COUNT_EVENTS_PBRS_V1	3146688	05d93e4a3b78bd7013a0a66f4e6c88d9c4177debcb0292ad150fb2935df796c6	3474ae438b9473e02afe1631ee2463f992910f229d367186373b130c81b99e7b	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s331_GEOM/checkpoints/policy_524288.zip
B_s331_GRAPH1	B	331	PATHGRAPH_MODEL_FULL_PBRS_V1	3142175	fb187663674e7261e4fd0366466d44efae3b833e0de2cd7202d7858b0f8d56e6	63079bc30243b5dd3c0c59a1138011c32d9afae1ce362fb9fa5ee38c2507ca80	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s331_GRAPH1/checkpoints/policy_524288.zip
B_s331_RW2	B	331	PATHGRAPH_REMAINING_WORK_PBRS_V2	12775981	4ebbf9cc2f0b3a20f113caab4f62c94d793887cb82287402abe9068572a2a876	afb532d7c606c43626728069863e684a4c1ecd618cbc7775dcf999011f0eb5c5	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s331_RW2/checkpoints/policy_524288.zip
B_s331_TASK	B	331	TASK_ONLY_ZERO_V1	3141482	0e5add6b5b5e8a54727bd5e647cd9778e1ee94711dee10e33dec9539d5ecf418	1de9cfb05ddae04ceedc536c8065345793625c7ab78c06a60d2484c6b9eb6898	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s331_TASK/checkpoints/policy_524288.zip
B_s347_FLAT	B	347	FLAT_CONTRACT_PBRS_V1	3142505	b080a8c119436961e23b5798e1ccdf5cb8ffb32bfd72e91986b71cd773291432	658fee73037111b2c755b923a22e06f1f7687f8921890b527d9f18a3663f816c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s347_FLAT/checkpoints/policy_524288.zip
