method,split,event_id,event,precision,recall,f1,mae,tp,fp,fn
weak_plus_small_gold_calibration,all,1,contact_on,1.0,1.0,1.0,0.0,720,0,0
weak_plus_small_gold_calibration,all,2,transport_on,0.0,0.0,0.0,nan,0,0,720
weak_plus_small_gold_calibration,all,3,contact_off_failure,1.0,1.0,1.0,0.0,178,0,0
weak_plus_small_gold_calibration,all,4,recovery_start,1.0,1.0,1.0,0.0,178,0,0
weak_plus_small_gold_calibration,all,5,contact_reestablished,1.0,1.0,1.0,0.0,163,0,0
weak_plus_small_gold_calibration,all,6,detour_start,0.02197802197802198,0.1543859649122807,0.03847835592479231,1.6136363636363635,44,1958,241
weak_plus_small_gold_calibration,all,7,goal_enter,1.0,1.0,1.0,0.0,585,0,0
weak_plus_small_gold_calibration,all,8,stable_success,0.0,0.0,0.0,nan,0,0,585
weak_plus_small_gold_calibration,all,9,terminal_failure,0.2912621359223301,0.8888888888888888,0.4387568555758684,0.0,120,292,15
weak_plus_small_gold_calibration,all,10,stagnation_onset,0.28888888888888886,0.13978494623655913,0.18840579710144925,0.5384615384615384,13,32,80
weak_zero_gold,all,1,contact_on,0.8154020385050963,1.0,0.8983156581409857,0.0,720,163,0
weak_zero_gold,all,2,transport_on,0.062481521632009464,0.8805555555555555,0.11668353731480631,1.160883280757098,634,9513,86
weak_zero_gold,all,3,contact_off_failure,1.0,1.0,1.0,0.0,178,0,0
weak_zero_gold,all,4,recovery_start,1.0,1.0,1.0,0.0,178,0,0
weak_zero_gold,all,5,contact_reestablished,0.0,0.0,0.0,nan,0,0,163
weak_zero_gold,all,6,detour_start,0.02197802197802198,0.1543859649122807,0.03847835592479231,1.6136363636363635,44,1958,241
weak_zero_gold,all,7,goal_enter,1.0,1.0,1.0,0.0,585,0,0
weak_zero_gold,all,8,stable_success,0.0,0.0,0.0,nan,0,0,585
weak_zero_gold,all,9,terminal_failure,0.2912621359223301,0.8888888888888888,0.4387568555758684,0.0,120,292,15
weak_zero_gold,all,10,stagnation_onset,0.28888888888888886,0.13978494623655913,0.18840579710144925,0.5384615384615384,13,32,80
