mode,event_id,event,weight,bias,source
weak_zero_gold,0,none,1.0,3.0,candidate_consensus
weak_zero_gold,1,contact_on,1.0,0.0,candidate_consensus
weak_zero_gold,2,transport_on,1.0,0.0,candidate_consensus
weak_zero_gold,3,contact_off_failure,1.0,0.0,candidate_consensus
weak_zero_gold,4,recovery_start,1.0,0.0,candidate_consensus
weak_zero_gold,5,contact_reestablished,1.0,0.0,candidate_consensus
weak_zero_gold,6,detour_start,1.0,0.0,candidate_consensus
weak_zero_gold,7,goal_enter,1.0,0.0,candidate_consensus
weak_zero_gold,8,stable_success,1.0,0.0,candidate_consensus
weak_zero_gold,9,terminal_failure,1.0,0.0,candidate_consensus
weak_zero_gold,10,stagnation_onset,1.0,0.0,candidate_consensus
weak_plus_small_gold_calibration,0,none,1.2999999523162842,3.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,1,contact_on,0.8755269050598145,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,2,transport_on,0.7043008208274841,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,3,contact_off_failure,0.9071780443191528,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,4,recovery_start,0.9184635281562805,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,5,contact_reestablished,0.9108002185821533,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,6,detour_start,0.7765858769416809,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,7,goal_enter,0.9004800915718079,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,8,stable_success,0.9270673394203186,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,9,terminal_failure,0.8198761940002441,0.0,candidate_consensus_plus_10pct_train_simulator_gold
weak_plus_small_gold_calibration,10,stagnation_onset,1.06931471824646,0.0,candidate_consensus_plus_10pct_train_simulator_gold
