episode_id,case_id,family_id,notes,taxonomy,close_xy,close_z,close_speed,failed,raw
P1V6RC1_970102_E5_REGRASP_OFFSET_LEFT_P40_97110204_RC3_OBJECT_ERROR_SERVO,E5_REGRASP_OFFSET_LEFT_P40,970102,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.04010244737803495,0.0006068712982656432,0.05812156388701142,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC3_OBJECT_ERROR_SERVO/F970102/E5_REGRASP_OFFSET_LEFT_P40/rollout_00
P1V6RC1_970102_E6_REGRASP_OFFSET_RIGHT_P40_97110205_RC3_OBJECT_ERROR_SERVO,E6_REGRASP_OFFSET_RIGHT_P40,970102,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.0390820819945604,0.000608891510946119,0.058269846675521327,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC3_OBJECT_ERROR_SERVO/F970102/E6_REGRASP_OFFSET_RIGHT_P40/rollout_00
P1V6RC1_970103_E5_REGRASP_OFFSET_LEFT_P40_97110304_RC3_OBJECT_ERROR_SERVO,E5_REGRASP_OFFSET_LEFT_P40,970103,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.03929940796527942,8.891794447851709e-05,0.02010855318087806,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC3_OBJECT_ERROR_SERVO/F970103/E5_REGRASP_OFFSET_LEFT_P40/rollout_00
P1V6RC1_970103_E6_REGRASP_OFFSET_RIGHT_P40_97110305_RC3_OBJECT_ERROR_SERVO,E6_REGRASP_OFFSET_RIGHT_P40,970103,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.04057855842975983,8.891780686814954e-05,0.02010838917899807,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC3_OBJECT_ERROR_SERVO/F970103/E6_REGRASP_OFFSET_RIGHT_P40/rollout_00
P1V6RC1_970201_E1_LOSS_RETURN_P40_97120100_RC1_OBJECT_COMPENSATED_DIRECT,E1_LOSS_RETURN_P40,970201,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.020400235370072347,0.005918851425813498,0.003479996679601229,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970201/E1_LOSS_RETURN_P40/rollout_00
P1V6RC1_970201_E2_LOSS_RETURN_P80_97120101_RC1_OBJECT_COMPENSATED_DIRECT,E2_LOSS_RETURN_P80,970201,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.23229423756246476,0.022896786285409143,0.1059792113066859,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970201/E2_LOSS_RETURN_P80/rollout_00
P1V6RC1_970201_E3_THREE_RETURNS_P40_97120102_RC1_OBJECT_COMPENSATED_DIRECT,E3_THREE_RETURNS_P40,970201,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.020400235370072347,0.005918851425813498,0.003479996679601229,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970201/E3_THREE_RETURNS_P40/rollout_00
P1V6RC1_970201_E4_THREE_RETURNS_P80_97120103_RC1_OBJECT_COMPENSATED_DIRECT,E4_THREE_RETURNS_P80,970201,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.23229423756246476,0.022896786285409143,0.1059792113066859,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970201/E4_THREE_RETURNS_P80/rollout_00
P1V6RC1_970201_E6_REGRASP_OFFSET_RIGHT_P40_97120105_RC1_OBJECT_COMPENSATED_DIRECT,E6_REGRASP_OFFSET_RIGHT_P40,970201,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.03341709380690983,0.0059202821294985775,0.005286885849164016,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970201/E6_REGRASP_OFFSET_RIGHT_P40/rollout_00
P1V6RC1_970202_E2_LOSS_RETURN_P80_97120201_RC1_OBJECT_COMPENSATED_DIRECT,E2_LOSS_RETURN_P80,970202,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.09512514099439379,0.023361907558236972,0.05415123462761503,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970202/E2_LOSS_RETURN_P80/rollout_00
P1V6RC1_970202_E3_THREE_RETURNS_P40_97120202_RC1_OBJECT_COMPENSATED_DIRECT,E3_THREE_RETURNS_P40,970202,"[""loop2_regrasp_failed"", ""cycles_complete=2""]",R6_WELD_TRIGGERED_HOLD_NOT_STABLE,0.019190028449841922,0.005303624983975519,2.0563938507269772e-05,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970202/E3_THREE_RETURNS_P40/rollout_00
P1V6RC1_970202_E4_THREE_RETURNS_P80_97120203_RC1_OBJECT_COMPENSATED_DIRECT,E4_THREE_RETURNS_P80,970202,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R5_CLOSE_OUTSIDE_CAPTURE_RANGE,0.09512514099439379,0.023361907558236972,0.05415123462761503,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970202/E4_THREE_RETURNS_P80/rollout_00
P1V6RC1_970202_E5_REGRASP_OFFSET_LEFT_P40_97120204_RC1_OBJECT_COMPENSATED_DIRECT,E5_REGRASP_OFFSET_LEFT_P40,970202,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",R6_WELD_TRIGGERED_HOLD_NOT_STABLE,0.01986953077912191,0.0016903723027896778,0.0002675760302518503,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/holdout/F970202/E5_REGRASP_OFFSET_LEFT_P40/rollout_00
