candidate_id,paired_recording,support_minimum,positive_recall,wrong_or_unknown,conflict,negative_false_emergency,information_false_emergency,hold_evidence,delay_p95,all_pass
B_count1,True,True,False,False,True,False,True,False,True,False
B_count2,True,True,False,False,True,True,True,False,True,False
C3_vector_rho035,True,True,False,False,True,True,False,False,True,False
C3_vector_rho055,True,True,False,False,True,True,False,False,True,False
C4_time010_disp004,True,True,False,False,True,True,True,False,True,False
C4_time010_disp008,True,True,False,False,True,True,True,False,True,False
C4_time020_disp004,True,True,False,False,True,True,True,False,True,False
C4_time020_disp008,True,True,False,False,True,True,True,False,True,False
