method,rollout_id,primary_action,primary_action_time,primary_action_capture_order,reason_code,temporal_outcome,historical_primary_action,historical_primary_action_time,historical_primary_action_capture_order,historical_reason_code,historical_temporal_outcome,matches
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome,recover_object,1.9000000000000015,42,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.9000000000000015,42,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome,recover_object,1.9000000000000015,42,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.9000000000000015,42,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.400000000000001,32,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss,recover_object,1.2500000000000009,29,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.2500000000000009,29,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss,recover_object,1.2500000000000009,29,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.2500000000000009,29,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C12_commanded_release,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C12_commanded_release,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C7_medium_intervention_outcome,recover_object,2.0000000000000013,44,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,2.0000000000000013,44,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C7_medium_intervention_outcome,recover_object,2.0000000000000013,44,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,2.0000000000000013,44,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C8_strong_loss_clean,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C8_strong_loss_clean,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_02_882002__C9_strong_loss_frame_dropout,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_02_882002__C9_strong_loss_frame_dropout,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6500000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C10_brief_hold_strong_loss,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C10_brief_hold_strong_loss,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C11_transport_strong_loss,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C11_transport_strong_loss,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.6000000000000012,37,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C12_commanded_release,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C12_commanded_release,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C1_hold_request_ends_without_hold,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C1_hold_request_ends_without_hold,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C2_touch_request_completes_without_hold,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C2_touch_request_completes_without_hold,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
