blind_id,request_id,case_id,root_family_id,condition,split
R001,confirm_F12_A_V1,F12_A,F12,V1,confirm
R002,confirm_F04_A_T,F04_A,F04,T,confirm
R003,confirm_F11_B_V1,F11_B,F11,V1,confirm
R004,confirm_F06_A_V1,F06_A,F06,V1,confirm
R005,confirm_F10_A_T,F10_A,F10,T,confirm
R006,confirm_F04_B_V1,F04_B,F04,V1,confirm
R007,confirm_F02_B_V1,F02_B,F02,V1,confirm
R008,confirm_F10_A_V1,F10_A,F10,V1,confirm
R009,confirm_F03_A_V2,F03_A,F03,V2,confirm
R010,confirm_F06_B_V2,F06_B,F06,V2,confirm
R011,confirm_F02_A_T,F02_A,F02,T,confirm
R012,confirm_F03_A_T,F03_A,F03,T,confirm
R013,confirm_F12_B_T,F12_B,F12,T,confirm
R014,confirm_F12_B_V2,F12_B,F12,V2,confirm
R015,confirm_F02_A_V1,F02_A,F02,V1,confirm
R016,confirm_F07_B_V1,F07_B,F07,V1,confirm
R017,confirm_F04_B_V2,F04_B,F04,V2,confirm
R018,confirm_F08_A_V1,F08_A,F08,V1,confirm
R019,confirm_F08_A_T,F08_A,F08,T,confirm
R020,confirm_F11_A_V1,F11_A,F11,V1,confirm
R021,confirm_F12_A_T,F12_A,F12,T,confirm
R022,confirm_F10_B_V1,F10_B,F10,V1,confirm
R023,confirm_F04_A_V1,F04_A,F04,V1,confirm
R024,confirm_F07_A_V2,F07_A,F07,V2,confirm
R025,confirm_F02_A_V2,F02_A,F02,V2,confirm
R026,confirm_F12_B_V1,F12_B,F12,V1,confirm
R027,confirm_F08_B_V1,F08_B,F08,V1,confirm
R028,confirm_F03_B_V2,F03_B,F03,V2,confirm
R029,confirm_F06_A_V2,F06_A,F06,V2,confirm
R030,confirm_F11_B_V2,F11_B,F11,V2,confirm
R031,confirm_F04_B_T,F04_B,F04,T,confirm
R032,confirm_F07_A_V1,F07_A,F07,V1,confirm
R033,confirm_F03_B_V1,F03_B,F03,V1,confirm
R034,confirm_F03_B_T,F03_B,F03,T,confirm
R035,confirm_F12_A_V2,F12_A,F12,V2,confirm
R036,confirm_F07_B_T,F07_B,F07,T,confirm
R037,confirm_F07_A_T,F07_A,F07,T,confirm
R038,confirm_F08_B_V2,F08_B,F08,V2,confirm
R039,confirm_F10_A_V2,F10_A,F10,V2,confirm
R040,confirm_F06_A_T,F06_A,F06,T,confirm
R041,confirm_F10_B_T,F10_B,F10,T,confirm
R042,confirm_F10_B_V2,F10_B,F10,V2,confirm
R043,confirm_F11_A_V2,F11_A,F11,V2,confirm
R044,confirm_F02_B_T,F02_B,F02,T,confirm
R045,confirm_F04_A_V2,F04_A,F04,V2,confirm
R046,confirm_F11_A_T,F11_A,F11,T,confirm
R047,confirm_F11_B_T,F11_B,F11,T,confirm
R048,confirm_F07_B_V2,F07_B,F07,V2,confirm
R049,confirm_F03_A_V1,F03_A,F03,V1,confirm
R050,confirm_F08_B_T,F08_B,F08,T,confirm
R051,confirm_F02_B_V2,F02_B,F02,V2,confirm
R052,confirm_F06_B_V1,F06_B,F06,V1,confirm
R053,confirm_F06_B_T,F06_B,F06,T,confirm
R054,confirm_F08_A_V2,F08_A,F08,V2,confirm
