action_index,action,callback_sequence,return_sequence,adjacent_sequence,callback_sampling_point,return_sampling_point,physical_exact,semantic_exact,record_identity_expected,old_state_sha256_equal,callback_old_state_sha256,return_old_state_sha256,physical_payload_sha256_callback,physical_payload_sha256_return,semantic_payload_sha256_callback,semantic_payload_sha256_return,physical_mismatch_field,semantic_mismatch_field
1,observe_scene,5,6,True,action_end_callback,after_perform_return,True,True,True,False,a9af7330b0b096aaf95d682bc228e44949b848c7aad4fd55c8484b4b4abbd8a9,1de77b437baabac6f9bcd592e7a29c5372a8d2727adfc2f2900d59a2bc571ab6,6854ba75f308ea695fa9bdd4837c222b4da2a6da555e773124e6f3d2fc72739d,6854ba75f308ea695fa9bdd4837c222b4da2a6da555e773124e6f3d2fc72739d,62996e28ab4ba3d046b3c7519f9693850d3bf6650dc870879113de176ecd332c,62996e28ab4ba3d046b3c7519f9693850d3bf6650dc870879113de176ecd332c,,
2,approach_object,12,13,True,action_end_callback,after_perform_return,True,True,True,False,7390d59c9c3b2e4147f0da984653f4d1754c40a29d79714b22145107dd33b688,b2300d0eb275e6e68f97b73f720ec1c5e495e9d16f2cf5d757f8a9421037c694,01e7deb552ce88862f4da1b196dc19f4e1086685ff8ac9514eb1f4324803b107,01e7deb552ce88862f4da1b196dc19f4e1086685ff8ac9514eb1f4324803b107,69ca11ab1fb520a0dc987ae0254a4183af53322d01f2c261228e5e274ddb9af6,69ca11ab1fb520a0dc987ae0254a4183af53322d01f2c261228e5e274ddb9af6,,
3,close_gripper,17,18,True,action_end_callback,after_perform_return,True,True,True,False,0d83730123877bd5399f12e8c5fd799121aff56cae765a09681f3d29a7855a92,58d891c9013bc82c914a3f8d5cb481a6a119e273dd29644ef6fdff9fa6bd91f7,03b6d9a115d0832179b34995794063dd48eb148af928a1ec86b3cd1cb4486feb,03b6d9a115d0832179b34995794063dd48eb148af928a1ec86b3cd1cb4486feb,2ac668df08039d44741e1aa1e688c8f028ce7df6fd5e5e9bd786aac1ee1c1656,2ac668df08039d44741e1aa1e688c8f028ce7df6fd5e5e9bd786aac1ee1c1656,,
4,lift,23,24,True,action_end_callback,after_perform_return,True,True,True,False,ba2b442f7591fc2ec415154d152147f4cbf9bcda2c2a50bcacb1f13acec68e58,e0976b9644f395ee597bf0b5a5de801f882fa6730cf9f9fd5b94f9191430c658,8c2400a87726231c602b476edb05b3688f357e8cb8689d24248e2e62382b01c2,8c2400a87726231c602b476edb05b3688f357e8cb8689d24248e2e62382b01c2,ec7082849544fcde49ed82576d75144f7360d6d2fbbd1b666e2c7168cf66088f,ec7082849544fcde49ed82576d75144f7360d6d2fbbd1b666e2c7168cf66088f,,
5,verify,29,30,True,action_end_callback,after_perform_return,True,True,True,False,fea7f8d315fa3bd8b04b46e3b334c10e03abe4bdba5cf3f811dd8d3ce79c1a85,1624b2344792a26dc902e65c31bf622e73d978aff744a4cd09c0518fd583b8a4,e223d734fc4016cceb1b5d99c3f2f2e183127a0dbf6d5eafc0d38ac8c5c9cff5,e223d734fc4016cceb1b5d99c3f2f2e183127a0dbf6d5eafc0d38ac8c5c9cff5,cac54916ed47a8ae8292a3653cce21091c81ef84ffa99712825773d8d858f1ea,cac54916ed47a8ae8292a3653cce21091c81ef84ffa99712825773d8d858f1ea,,
6,verify,35,36,True,action_end_callback,after_perform_return,True,True,True,False,f65997412a1c9c5b75c74662b3edd95163c18ab77619a885165cfb0dea919eb5,89747e51a6b0801536a6c92ed167c77139edae67fb2beb1c8a7e1a620fe02f8b,d8e25f38ebd143f932a6276d984595b51d27a38f27bb813e87ae68ebf09b6ea8,d8e25f38ebd143f932a6276d984595b51d27a38f27bb813e87ae68ebf09b6ea8,94b42d7fdd7626bbef8bdbe61f54a2a5123b954144467bc0410e57e356d07a5e,94b42d7fdd7626bbef8bdbe61f54a2a5123b954144467bc0410e57e356d07a5e,,
7,transport_to_target,46,47,True,action_end_callback,after_perform_return,True,True,True,False,493e39fc6e91a9f89dbede5aa3fc393f7f9f5e711990c0d9cc6a66aa510278cc,adae9b49337ff9886f441de8ad90a85fca05dada5c1bbd9b5ede5e318287c0b9,1b9d28da43141d2d8a21b8198dd5fc037c18cd01fa07ca1f2d03cce3c6ff0ac5,1b9d28da43141d2d8a21b8198dd5fc037c18cd01fa07ca1f2d03cce3c6ff0ac5,a8d9c76adad9bc621bdb602f0d36832f452eb61f5e71d90fe84ff54fb5ff5b10,a8d9c76adad9bc621bdb602f0d36832f452eb61f5e71d90fe84ff54fb5ff5b10,,
8,verify,52,53,True,action_end_callback,after_perform_return,True,True,True,False,b677cab848bf837f644706856b64fae28c4ee6b0e0c831dacba1f18764cc41cb,5403f84c4d46381f416cf89fab78d4de2e8d7f544668712fd7cf86d808e9af60,19e1fbe854ac4ad25e438410b16f75df4d06a0596ce486e203a69ee48959d4cd,19e1fbe854ac4ad25e438410b16f75df4d06a0596ce486e203a69ee48959d4cd,dd79847d659d6570fb4539b854ce1656b4bcf7e53fc459e6095e8c78ccff80d8,dd79847d659d6570fb4539b854ce1656b4bcf7e53fc459e6095e8c78ccff80d8,,
