source_candidate_id,source_nodes,source_edges,canonical_states,mapped_edges,unmapped_edges
confirm_F02_A_V1,4,3,goal_stability_candidate;object_above_target;object_lifted;visual_unknown,3,0
confirm_F02_B_V1,5,6,goal_stability_candidate;grasp_candidate;object_above_target;object_released,6,0
confirm_F03_A_V1,4,4,goal_stability_candidate;object_above_target;object_lifted;visual_unknown,4,0
confirm_F03_B_V1,6,6,goal_stability_candidate;object_on_target_candidate;scene_unverified;visual_unknown,6,0
confirm_F04_A_V1,5,5,grasp_candidate;object_above_target;object_released;scene_unverified;visual_unknown,5,0
confirm_F04_B_V1,4,4,goal_stability_candidate;object_released;stable_hold_candidate,4,0
confirm_F06_A_V1,4,3,goal_stability_candidate;object_above_target;object_lifted;scene_unverified,3,0
confirm_F06_B_V1,5,5,goal_verified;grasp_candidate;object_released;scene_unverified,5,0
confirm_F07_A_V1,4,3,goal_stability_candidate;object_above_target;object_lifted;object_released,3,0
confirm_F07_B_V1,4,3,grasp_candidate;object_above_target;object_released;scene_unverified,3,0
confirm_F08_A_V1,4,4,goal_stability_candidate;object_above_target;object_lifted;target_blocked,4,0
confirm_F08_B_V1,5,5,goal_stability_candidate;grasp_candidate;object_on_target_candidate;object_released;scene_unverified,5,0
confirm_F10_A_V1,4,3,goal_stability_candidate;object_lifted;object_on_target_candidate;visual_unknown,3,0
confirm_F10_B_V1,4,4,goal_stability_candidate;object_above_target;object_released;stable_hold_candidate,4,0
confirm_F11_A_V1,4,3,goal_stability_candidate;object_above_target;object_in_transport;scene_unverified,3,0
confirm_F11_B_V1,5,4,goal_stability_candidate;grasp_candidate;object_on_target_candidate,4,0
confirm_F12_A_V1,4,3,goal_stability_candidate;object_above_target;object_lifted,3,0
confirm_F12_B_V1,5,5,grasp_candidate;object_above_target;object_on_target_candidate;object_released;target_blocked,5,0
