rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action,resolvable,commanded_release,force_start_time,phase_grid_time,requested_phase_offset_ms,actual_phase_offset_ms,loss_onset_time_abs,loss_confirmed_time_abs,peak_relative_separation_m,reference_path,physics_trace_path,candidate_input_path
L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R21_PERF_00_888000,888000,88900006,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036,1.6100000000000012,1.7400000000000013,0.4876254471430262,../../../confirmation/L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout/candidate_input
L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release,L2RAR2_R21_PERF_00_888000,888000,88900007,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018,,,0.3350875652041174,../../../confirmation/L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release/candidate_input
L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean,L2RAR2_R21_PERF_00_888000,888000,88900000,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013457102897631738,../../../confirmation/L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean/candidate_input
L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter,L2RAR2_R21_PERF_00_888000,888000,88900001,T2_transport_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013457102897631738,../../../confirmation/L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter/candidate_input
L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout,L2RAR2_R21_PERF_00_888000,888000,88900002,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013457102897631738,../../../confirmation/L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout/candidate_input
L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true,L2RAR2_R21_PERF_00_888000,888000,88900003,T4_transport_same_time_contact_false_then_true,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013457102897631738,../../../confirmation/L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true/candidate_input
L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms,L2RAR2_R21_PERF_00_888000,888000,88900004,T7_transport_strong_phase_00ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.300000000000001,0,0.0,1.5700000000000012,1.6900000000000013,0.3205230584072799,../../../confirmation/L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms/candidate_input
L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms,L2RAR2_R21_PERF_00_888000,888000,88900005,T9_transport_strong_phase_20ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018,1.5900000000000012,1.7200000000000013,0.3406744143031962,../../../confirmation/L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms/candidate_input
L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R21_PERF_01_888001,888001,88900106,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036,1.380000000000001,1.480000000000001,38.29867056405623,../../../confirmation/L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout/candidate_input
L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release,L2RAR2_R21_PERF_01_888001,888001,88900107,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018,,,0.3443343262206119,../../../confirmation/L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release/reference/physical_reference.json,../../../confirmation/L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release/candidate_input
