method,input_tier,eligible_for_online_selection,total,resolved,correct,overall_temporal_accuracy,unknown_rate,early_action_rate,late_action_rate,miss_rate,false_retry_rate,false_recovery_rate,C1_retry_correct,strong_loss_correct_in_window,false_actions_C2_C3_C4_C12,early_recovery_before_physical_onset,latency_median_s,latency_p90_s,confirmation_status
O_B2,ONLINE_TRUE_RGB,True,72,72,70,0.9722222222222222,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,6,22,0,1,0.03500000000000003,0.1100000000000001,CONFIRMATION_FAIL
O_C3,ONLINE_TRUE_RGB,True,72,72,71,0.9861111111111112,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,6,23,0,1,0.030000000000000027,0.1100000000000001,CONFIRMATION_FAIL
S_G_H,STATE_ASSISTED_DIAGNOSTIC,False,72,72,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24,0,0,0.14500000000000013,0.2200000000000002,DIAGNOSTIC_ONLY
S_G_R,STATE_ASSISTED_DIAGNOSTIC,False,72,72,39,0.5416666666666666,0.0,0.3472222222222222,0.0,0.0,0.0,0.1111111111111111,6,4,0,25,0.010000000000000009,0.010000000000000009,DIAGNOSTIC_ONLY
S_G_HR,STATE_ASSISTED_DIAGNOSTIC,False,72,72,39,0.5416666666666666,0.0,0.3472222222222222,0.0,0.0,0.0,0.1111111111111111,6,4,0,25,0.010000000000000009,0.010000000000000009,DIAGNOSTIC_ONLY
