method,latency_median_s,latency_p90_s,strong_loss_correct_in_window
O_B2,0.03500000000000003,0.1100000000000001,22
O_C3,0.030000000000000027,0.1100000000000001,23
S_G_H,0.14500000000000013,0.2200000000000002,24
S_G_R,0.010000000000000009,0.010000000000000009,4
S_G_HR,0.010000000000000009,0.010000000000000009,4
