boundary_f1_tol1,boundary_f1_tol2,boundary_mae,boundary_precision_tol1,boundary_precision_tol2,boundary_recall_tol1,boundary_recall_tol2,budget,contact_reestablished_recall,episodes,evaluation_split,event_macro_f1,events_per_episode,job_id,method,oracle_budget_not_human_time,recovery_start_recall,reviewed_clips,seed,split,strategy,test_used_for_selection,unknown_rate
0.4598084131611829,0.4598084131611829,1.6394927536231885,0.2996742671009772,0.2996742671009772,0.9874776386404294,0.9874776386404294,0,0.9130434782608695,108,val,0.5334683119822635,17.055555555555557,budget0_s641,budget0_s641,True,1.0,0,641,val,none,False,0.6411960132890365
0.4099920697858842,0.4107850911974623,1.6293436293436294,0.2596685082872928,0.26017076845806125,0.9736346516007532,0.975517890772128,0,0.4166666666666667,108,test,0.5019553944217513,18.435185185185187,budget0_s641,budget0_s641,True,1.0,0,641,test,none,False,0.7244897959183674
0.46523388116308473,0.46523388116308473,1.6358695652173914,0.30429988974641675,0.30429988974641675,0.9874776386404294,0.9874776386404294,0,0.043478260869565216,108,val,0.439916973078061,16.796296296296298,budget0_s642,budget0_s642,True,1.0,0,642,val,none,False,0.6090808416389811
0.41211638102829806,0.41291351135910725,1.6563706563706564,0.2613751263902932,0.26188068756319516,0.9736346516007532,0.975517890772128,0,0.08333333333333333,108,test,0.45929688568692717,18.314814814814813,budget0_s642,budget0_s642,True,1.0,0,642,test,none,False,0.691609977324263
0.4489125974558884,0.4489125974558884,1.6252285191956124,0.2912673056443025,0.2912673056443025,0.9785330948121646,0.9785330948121646,0,0.30434782608695654,108,val,0.4768458196795238,17.38888888888889,budget0_s643,budget0_s643,True,1.0,0,643,val,none,False,0.6345514950166113
0.3955623565416986,0.39632746748278497,1.6370656370656371,0.24819971195391263,0.2486797887662026,0.9736346516007532,0.975517890772128,0,0.20833333333333334,108,test,0.4785495090016367,19.287037037037038,budget0_s643,budget0_s643,True,1.0,0,643,test,none,False,0.7108843537414966
0.4720068906115418,0.4720068906115418,1.5985401459854014,0.31083380601247873,0.31083380601247873,0.9803220035778175,0.9803220035778175,30,0.4782608695652174,108,val,0.4992592832656354,16.324074074074073,budget30_entropy_x_event_importance_s641,budget30_entropy_x_event_importance_s641,True,1.0,30,641,val,entropy_x_event_importance,False,0.6124031007751938
0.4252163164400495,0.4260403790688092,1.5764023210831721,0.2721518987341772,0.27267932489451474,0.9717514124293786,0.9736346516007532,30,0.3333333333333333,108,test,0.49528343045584416,17.555555555555557,budget30_entropy_x_event_importance_s641,budget30_entropy_x_event_importance_s641,True,1.0,30,641,test,entropy_x_event_importance,False,0.6885865457294029
0.48562582927908,0.48562582927908,1.278688524590164,0.3225616921269095,0.3225616921269095,0.9821109123434705,0.9821109123434705,30,1.0,108,val,0.5348958333333333,15.75925925925926,budget30_entropy_x_event_importance_s642,budget30_entropy_x_event_importance_s642,True,1.0,30,642,val,entropy_x_event_importance,False,0.6519010705057217
0.43573535608933833,0.4365781710914454,1.2277992277992278,0.28067318132464714,0.28121606948968514,0.9736346516007532,0.975517890772128,30,1.0,108,test,0.5504923614533399,17.055555555555557,budget30_entropy_x_event_importance_s642,budget30_entropy_x_event_importance_s642,True,1.0,30,642,test,entropy_x_event_importance,False,0.7335600907029478
