path	size_bytes	sha256	reason
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/rollouts/refine1_new_seed_rollouts.csv	228284	8840573a6197fae3b6944a38af0feacda74d9a0c86f2b22583da4c9a71e14cb9	full paired rollout table omitted from ZIP
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/m4_refine1_results_v1/tables/combined_six_seed_rollouts.csv	450234	caaa4d6349c586db15625ab4b974d8fa27b54f3bc8b033596d212927d6e1b4c2	full paired rollout table omitted from ZIP
