bucket,conditions,mean_V6_minus_BC_across_those_conditions,equal_condition_share_of_overall,n_conditions
A_first,A_STARTED,-0.0875,-0.0109375,1
B_first,B_STARTED,-0.0375,-0.0046875,1
drop_regrasp,"A_VALID_B_LOSS,B_VALID_A_LOSS,LATE_LOSS,TWO_LOSSES",-0.0375,-0.01875,4
invalidate_other,INVALIDATE_FIRST,-0.0625,-0.0078125,1
natural,FREE_ORDER,-0.0375,-0.0046875,1
