condition,bucket,n_episodes_per_method,V6,BC,V6_minus_BC,share_of_overall_minus_4p7pp,seed_family_cells
A_STARTED,A_first,640,0.8125,0.9,-0.0875,-0.0109375,80
A_VALID_B_LOSS,drop_regrasp,640,0.8,0.85,-0.05,-0.00625,80
B_STARTED,B_first,640,0.925,0.9625,-0.0375,-0.0046875,80
B_VALID_A_LOSS,drop_regrasp,640,0.9125,0.95,-0.0375,-0.0046875,80
FREE_ORDER,natural,640,0.9125,0.95,-0.0375,-0.0046875,80
INVALIDATE_FIRST,invalidate_other,640,0.825,0.8875,-0.0625,-0.0078125,80
LATE_LOSS,drop_regrasp,640,0.9125,0.9375,-0.025,-0.003125,80
TWO_LOSSES,drop_regrasp,640,0.8375,0.875,-0.0375,-0.0046875,80
