method,action_role,n,mean_weight,weight_sum,ess,share_of_total_weight
BC_UNIFORM,acquire,3694,1.0,3694.0,3694.0,0.07272798865963144
BC_UNIFORM,acquire_or_switch,333,1.0,333.0,333.0,0.006556150574893684
BC_UNIFORM,gripper_reopen,673,1.0,673.0,673.0,0.013250118128839188
BC_UNIFORM,immediate_progress_or_other,39480,1.0,39480.0,39480.0,0.7772877618522602
BC_UNIFORM,recovery_prepare,1864,1.0,1864.0,1864.0,0.036698692707513
BC_UNIFORM,wait,4748,1.0,4748.0,4748.0,0.0934792880768625
V6_CAP_POTENTIAL,acquire,3694,1.4453148702124228,5338.99313056469,3351.7321172568936,0.10511484349040577
V6_CAP_POTENTIAL,acquire_or_switch,333,0.5626422762870789,187.35987800359726,333.00000000000017,0.003688767483139023
V6_CAP_POTENTIAL,gripper_reopen,673,0.6162188639435336,414.7152954339981,533.9963902732002,0.008164972740470903
V6_CAP_POTENTIAL,immediate_progress_or_other,39480,1.0418120905213444,41130.74133378267,27483.306269992547,0.8097877881119601
V6_CAP_POTENTIAL,recovery_prepare,1864,0.5626422762870789,1048.765202999115,1864.000000000001,0.020648236001715132
V6_CAP_POTENTIAL,wait,4748,0.5626422762870789,2671.4255278110504,4748.000000000013,0.05259539942926151
V6_WEIGHT_SHUFFLED,acquire,3694,1.009600580626071,3729.4645448327065,2585.3116015738406,0.07342622522550596
V6_WEIGHT_SHUFFLED,acquire_or_switch,333,1.0161870852247015,338.3902993798256,238.01314447967763,0.006662276055369771
V6_WEIGHT_SHUFFLED,gripper_reopen,673,0.9816666766226203,660.6616733670235,473.7971468542997,0.013007200428736812
V6_WEIGHT_SHUFFLED,immediate_progress_or_other,39480,0.9985639282016285,39423.303885400295,27623.877438311967,0.7761715805111146
V6_WEIGHT_SHUFFLED,recovery_prepare,1864,0.9998934936305995,1863.8014721274376,1297.246812529826,0.036694786885069476
V6_WEIGHT_SHUFFLED,wait,4748,1.0059769362864017,4776.378493487835,3326.907572582542,0.09403801505795856
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,acquire,3694,0.7247716784477234,2677.30658018589,3694.0000000000127,0.05271118641096807
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,acquire_or_switch,333,0.7247716784477234,241.3489689230919,333.0000000000001,0.004751712256321702
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,gripper_reopen,673,0.81523352427433,548.6521618366241,486.8725524267724,0.010801940499224763
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,immediate_progress_or_other,39480,1.0773176662661625,42532.5014641881,22260.651401700252,0.8373858376159257
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,recovery_prepare,1864,0.7247716784477234,1350.9744086265564,1864.0000000000005,0.02659817311046142
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,wait,4748,0.7247716784477234,3441.2159292697906,4748.000000000015,0.06775114051956589
V6_CAP_COST_ONLY,acquire,3694,1.358669448395839,5018.924942374229,3447.148508250454,0.09881329623512028
V6_CAP_COST_ONLY,acquire_or_switch,333,0.6638204455375671,221.05220836400986,333.0000000000001,0.004352106795637302
V6_CAP_COST_ONLY,gripper_reopen,673,0.7335232381126324,493.66113924980164,521.0259549930397,0.009719269555241015
V6_CAP_COST_ONLY,immediate_progress_or_other,39480,1.0301210959737304,40669.18086904287,26266.289013377525,0.8007005211262181
V6_CAP_COST_ONLY,recovery_prepare,1864,0.6638204455375671,1237.3613104820251,1864.0000000000005,0.02436134254374754
V6_CAP_COST_ONLY,wait,4748,0.6638204455375671,3151.819475412369,4748.000000000015,0.06205346265971745
