method,phase,n,weight_sum,mean_weight,ess,share_of_total_weight
BC_UNIFORM,WAIT,5528,5528.0,1.0,5528.0,0.10883603717120806
BC_UNIFORM,HELD,5707,5707.0,1.0,5707.0,0.11236021420696173
BC_UNIFORM,TRANSPORT,33141,33141.0,1.0,33141.0,0.6524846432509056
BC_UNIFORM,PLACED,0,0.0,,,0.0
BC_UNIFORM,VALID,1106,1106.0,1.0,1106.0,0.021775082690187433
BC_UNIFORM,LOST,1645,1645.0,1.0,1645.0,0.032386990077177505
BC_UNIFORM,RECOVERING,1753,1753.0,1.0,1753.0,0.034513309182548434
BC_UNIFORM,TERMINAL,1912,1912.0,1.0,1912.0,0.03764372342101118
V6_CAP_POTENTIAL,WAIT,5528,6370.879065275192,1.1524745052958019,4467.548159026194,0.1254307580972435
V6_CAP_POTENTIAL,HELD,5707,9898.471050441265,1.7344438497356343,5207.573781601667,0.1948824824862432
V6_CAP_POTENTIAL,TRANSPORT,33141,23913.836355268955,0.7215785991753102,30046.47436557945,0.4708189548603905
V6_CAP_POTENTIAL,PLACED,0,0.0,,,0.0
V6_CAP_POTENTIAL,VALID,1106,622.2823575735092,0.5626422762870789,1105.9999999999998,0.012251582091146424
V6_CAP_POTENTIAL,LOST,1645,925.5465444922447,0.5626422762870789,1645.0000000000011,0.01822228981911019
V6_CAP_POTENTIAL,RECOVERING,1753,3684.733269393444,2.1019585107777776,1405.610749630853,0.0725455439713625
V6_CAP_POTENTIAL,TERMINAL,1912,5376.251726150513,2.8118471371080087,1911.9998283385692,0.105848395931456
V6_WEIGHT_SHUFFLED,WAIT,5528,5531.658587753773,1.0006618284648647,3870.3918157054313,0.1089080763343823
V6_WEIGHT_SHUFFLED,HELD,5707,5704.768905520439,0.9996090600175993,3976.7740938022534,0.11231629674468367
V6_WEIGHT_SHUFFLED,TRANSPORT,33141,33098.45993703604,0.998716391691139,23218.98613624797,0.6516471586575199
V6_WEIGHT_SHUFFLED,PLACED,0,0.0,,,0.0
V6_WEIGHT_SHUFFLED,VALID,1106,1110.1084389090538,1.0037146825579149,776.2248147362325,0.0218559718909266
V6_WEIGHT_SHUFFLED,LOST,1645,1695.9417638778687,1.0309676376157255,1139.4296418428055,0.03338994121726505
V6_WEIGHT_SHUFFLED,RECOVERING,1753,1780.419654250145,1.015641559754789,1224.9341016455544,0.03505315386628854
V6_WEIGHT_SHUFFLED,TERMINAL,1912,1870.6430812478065,0.9783698123680996,1341.0305734528001,0.03682948545268909
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,WAIT,5528,4006.537838459015,0.7247716784477234,5528.000000000021,0.07888127733617528
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,HELD,5707,4223.2445721030235,0.7400113145440728,5283.013676429336,0.08314782981774735
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,TRANSPORT,33141,28890.123974740505,0.8717336222425547,21629.1542741223,0.5687928015187531
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,PLACED,0,0.0,,,0.0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,VALID,1106,801.5974763631821,0.7247716784477234,1106.0000000000002,0.015781963229705112
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,LOST,1645,1192.249411046505,0.7247716784477234,1645.000000000001,0.023473173158105706
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,RECOVERING,1753,4749.428880393505,2.7093148205325184,1405.4858412057722,0.09350742007389953
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,TERMINAL,1912,6928.817359924316,3.6238584518432617,1912.0000000000005,0.1364155252780815
V6_CAP_COST_ONLY,WAIT,5528,6236.371639490128,1.1281424818180403,4792.327479474069,0.12278255708556716
V6_CAP_COST_ONLY,HELD,5707,8121.8428664803505,1.4231370013107325,5387.239544035707,0.15990397831312708
V6_CAP_COST_ONLY,TRANSPORT,33141,24973.589081704617,0.7535556887753724,26186.877448580395,0.4916835147602894
V6_CAP_COST_ONLY,PLACED,0,0.0,,,0.0
V6_CAP_COST_ONLY,VALID,1106,734.1854127645493,0.6638204455375671,1105.9999999999998,0.014454745093017586
V6_CAP_COST_ONLY,LOST,1645,1091.984632909298,0.6638204455375671,1645.0000000000011,0.02149914618265274
V6_CAP_COST_ONLY,RECOVERING,1753,3287.9027382731438,1.8755862739721298,1470.1977010530595,0.06473268897214411
V6_CAP_COST_ONLY,TERMINAL,1912,6346.123573303223,3.3191022872924805,1912.0000000000007,0.12494336850888374
