0, NVIDIA A100-SXM4-40GB, GPU-4120c94f-c9c2-6653-a0ec-41957aa85822, 40960 MiB, 8008 MiB, 32457 MiB, 38 %
1, NVIDIA A100-SXM4-40GB, GPU-61a23cf4-84c2-e7d3-596e-438966258945, 40960 MiB, 6375 MiB, 34089 MiB, 19 %
2, NVIDIA A100-SXM4-40GB, GPU-eb22e795-17aa-d14d-4ed6-dff343fbaaeb, 40960 MiB, 6375 MiB, 34089 MiB, 24 %
3, NVIDIA A100-SXM4-40GB, GPU-ac34f6d2-4fea-acf3-1f89-766dfa2bbaf7, 40960 MiB, 7345 MiB, 33119 MiB, 99 %
4, NVIDIA A100-SXM4-40GB, GPU-dc70602e-3b9d-ab0a-ee9c-d3a900565ca4, 40960 MiB, 5822 MiB, 34643 MiB, 40 %
5, NVIDIA A100-SXM4-40GB, GPU-1f8161f4-7f19-0357-a0c7-fb7f6e5fd384, 40960 MiB, 6433 MiB, 34031 MiB, 48 %
6, NVIDIA A100-SXM4-40GB, GPU-dd290d6b-aa94-38e2-8dd5-9d1c76287408, 40960 MiB, 8011 MiB, 32453 MiB, 85 %
7, NVIDIA A100-SXM4-40GB, GPU-71e35dc1-6901-b158-8674-68043fafa2b1, 40960 MiB, 19549 MiB, 20915 MiB, 0 %
