metric_name,method,variant,provenance,observation_rows,content_groups,min_value,max_value,statistics_unit,split_crossing_groups
alternate_path_return,,collapse_alternative_to_A_first,frozen_controlled_symbolic_trace,2,2,0.0,3.0,content_group_id,0
alternate_path_return,,collapse_alternative_to_B_first,frozen_controlled_symbolic_trace,2,2,0.0,3.0,content_group_id,0
alternate_path_return,,cost_only,frozen_controlled_symbolic_trace,2,2,3.0,3.0,content_group_id,0
alternate_path_return,,full_locked,frozen_controlled_symbolic_trace,2,2,3.0,3.0,content_group_id,0
alternate_path_return,,no_phi,frozen_controlled_symbolic_trace,2,2,3.0,3.0,content_group_id,0
alternate_path_return,,no_recovery_debt_cap,frozen_controlled_symbolic_trace,2,2,3.0,3.0,content_group_id,0
alternate_path_return,,remove_recovery_edge,frozen_controlled_symbolic_trace,2,2,3.0,3.0,content_group_id,0
failure_negative_rate,pathgraph_cost_only,,frozen_controlled_symbolic_trace,4,4,0.25,1.0,content_group_id,0
failure_negative_rate,pathgraph_cost_only,,real_test_checkpoint_ensemble,7,7,0.5,1.0,content_group_id,0
failure_negative_rate,pathgraph_cost_plus_phi,,frozen_controlled_symbolic_trace,4,4,0.25,1.0,content_group_id,0
failure_negative_rate,pathgraph_cost_plus_phi,,real_test_checkpoint_ensemble,7,7,1.0,1.0,content_group_id,0
failure_negative_rate,pathgraph_full_no_lcb,,frozen_controlled_symbolic_trace,4,4,0.25,1.0,content_group_id,0
failure_negative_rate,pathgraph_full_no_lcb,,real_test_checkpoint_ensemble,7,7,1.0,1.0,content_group_id,0
failure_negative_rate,pathgraph_reward_v1_locked,,frozen_controlled_symbolic_trace,4,4,0.25,1.0,content_group_id,0
failure_negative_rate,pathgraph_reward_v1_locked,,real_test_checkpoint_ensemble,7,7,1.0,1.0,content_group_id,0
legal_path_normalized_gap,pathgraph_cost_only,,frozen_controlled_symbolic_trace,1,1,0.0,0.0,content_group_id,0
legal_path_normalized_gap,pathgraph_cost_plus_phi,,frozen_controlled_symbolic_trace,1,1,0.0,0.0,content_group_id,0
legal_path_normalized_gap,pathgraph_full_no_lcb,,frozen_controlled_symbolic_trace,1,1,0.0,0.0,content_group_id,0
legal_path_normalized_gap,pathgraph_reward_v1_locked,,frozen_controlled_symbolic_trace,1,1,0.0,0.0,content_group_id,0
node_accuracy,pathgraph_reward_v1_locked,,real_test_checkpoint_ensemble,13,13,0.6416666666666667,0.9833333333333333,content_group_id,0
phi_mae,pathgraph_reward_v1_locked,,real_test_checkpoint_ensemble,13,13,0.12770857352556456,0.1705778037560068,content_group_id,0
positive_loop_rate,pathgraph_cost_only,,frozen_controlled_symbolic_trace,3,3,0.0,0.0,content_group_id,0
positive_loop_rate,pathgraph_cost_plus_phi,,frozen_controlled_symbolic_trace,3,3,0.0,0.0,content_group_id,0
positive_loop_rate,pathgraph_full_no_lcb,,frozen_controlled_symbolic_trace,3,3,0.0,0.0,content_group_id,0
positive_loop_rate,pathgraph_reward_v1_locked,,frozen_controlled_symbolic_trace,3,3,0.0,0.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_cost_only,,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_cost_only,,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_cost_plus_phi,,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_cost_plus_phi,,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_full_no_lcb,,frozen_controlled_symbolic_trace,4,4,0.0,1.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_full_no_lcb,,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_reward_v1_locked,,frozen_controlled_symbolic_trace,4,4,0.0,1.0,content_group_id,0
recovery_cycle_nonpositive_rate,pathgraph_reward_v1_locked,,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_overshoot_rate,,collapse_alternative_to_A_first,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_overshoot_rate,,collapse_alternative_to_A_first,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_overshoot_rate,,collapse_alternative_to_B_first,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_overshoot_rate,,collapse_alternative_to_B_first,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_overshoot_rate,,cost_only,frozen_controlled_symbolic_trace,4,4,1.0,1.0,content_group_id,0
recovery_overshoot_rate,,cost_only,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_overshoot_rate,,full_locked,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_overshoot_rate,,full_locked,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_overshoot_rate,,no_phi,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_overshoot_rate,,no_phi,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_overshoot_rate,,no_recovery_debt_cap,frozen_controlled_symbolic_trace,4,4,1.0,1.0,content_group_id,0
recovery_overshoot_rate,,no_recovery_debt_cap,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_overshoot_rate,,remove_recovery_edge,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_overshoot_rate,,remove_recovery_edge,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,,collapse_alternative_to_A_first,frozen_controlled_symbolic_trace,4,4,0.2,0.5,content_group_id,0
recovery_positive_rate,,collapse_alternative_to_A_first,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,,collapse_alternative_to_B_first,frozen_controlled_symbolic_trace,4,4,0.2,0.5,content_group_id,0
recovery_positive_rate,,collapse_alternative_to_B_first,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,,cost_only,frozen_controlled_symbolic_trace,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,,cost_only,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,,full_locked,frozen_controlled_symbolic_trace,4,4,0.2,0.5,content_group_id,0
recovery_positive_rate,,full_locked,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,,no_phi,frozen_controlled_symbolic_trace,4,4,0.2,0.5,content_group_id,0
recovery_positive_rate,,no_phi,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,,no_recovery_debt_cap,frozen_controlled_symbolic_trace,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,,no_recovery_debt_cap,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,,remove_recovery_edge,frozen_controlled_symbolic_trace,4,4,0.0,0.0,content_group_id,0
recovery_positive_rate,,remove_recovery_edge,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,pathgraph_cost_only,,frozen_controlled_symbolic_trace,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,pathgraph_cost_only,,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,pathgraph_cost_plus_phi,,frozen_controlled_symbolic_trace,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,pathgraph_cost_plus_phi,,real_test_checkpoint_ensemble,4,4,1.0,1.0,content_group_id,0
recovery_positive_rate,pathgraph_full_no_lcb,,frozen_controlled_symbolic_trace,4,4,0.2,0.5,content_group_id,0
recovery_positive_rate,pathgraph_full_no_lcb,,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
recovery_positive_rate,pathgraph_reward_v1_locked,,frozen_controlled_symbolic_trace,4,4,0.2,0.5,content_group_id,0
recovery_positive_rate,pathgraph_reward_v1_locked,,real_test_checkpoint_ensemble,4,4,0.75,0.75,content_group_id,0
return,learned_linear_sarm,,real_test_checkpoint_ensemble,13,13,0.4047248661518097,1.0273784399032593,content_group_id,0
return,linear_time_fraction,,real_test_checkpoint_ensemble,13,13,4.368868287353396,4.368868287353396,content_group_id,0
return,oracle_linear_chain_A_first,,real_test_checkpoint_ensemble,13,13,0.4047248661518097,1.0273784399032593,content_group_id,0
return,oracle_linear_chain_B_first,,real_test_checkpoint_ensemble,13,13,0.4047248661518097,1.0273784399032593,content_group_id,0
return,pathgraph_cost_only,,frozen_controlled_symbolic_trace,10,10,0.0,11.0,content_group_id,0
return,pathgraph_cost_only,,real_test_checkpoint_ensemble,13,13,0.9208588600158691,0.9210788408915198,content_group_id,0
return,pathgraph_cost_plus_phi,,frozen_controlled_symbolic_trace,10,10,0.0,11.0,content_group_id,0
return,pathgraph_cost_plus_phi,,real_test_checkpoint_ensemble,13,13,2.0054630363980923,2.6407048944383864,content_group_id,0
return,pathgraph_full_no_lcb,,frozen_controlled_symbolic_trace,10,10,0.0,7.0,content_group_id,0
return,pathgraph_full_no_lcb,,real_test_checkpoint_ensemble,13,13,2.0054630363980923,2.50111468695104,content_group_id,0
return,pathgraph_reward_v1_locked,,frozen_controlled_symbolic_trace,10,10,0.0,7.0,content_group_id,0
return,pathgraph_reward_v1_locked,,real_test_checkpoint_ensemble,13,13,2.0054630363980923,2.50111468695104,content_group_id,0
return,sequential_transition_oracle,,real_test_checkpoint_ensemble,13,13,0.4047248661518097,1.0273784399032593,content_group_id,0
within_node_reward_density,,collapse_alternative_to_A_first,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.972972972972973,content_group_id,0
within_node_reward_density,,collapse_alternative_to_B_first,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.972972972972973,content_group_id,0
within_node_reward_density,,cost_only,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.990990990990991,content_group_id,0
within_node_reward_density,,full_locked,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.972972972972973,content_group_id,0
within_node_reward_density,,no_phi,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.972972972972973,content_group_id,0
within_node_reward_density,,no_recovery_debt_cap,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.990990990990991,content_group_id,0
within_node_reward_density,,remove_recovery_edge,real_test_checkpoint_ensemble,13,13,0.7456140350877193,0.972972972972973,content_group_id,0
