task_id,edge_id,edge_type,count
transport_recovery,dropped_or_misaligned_to_recovery,recovery,20
transport_recovery,grasped_to_in_transit,forward,72
transport_recovery,in_transit_to_dropped_or_misaligned,failure,20
transport_recovery,in_transit_to_grasped,forward,52
transport_recovery,in_transit_to_placed,forward,40
transport_recovery,in_transit_to_terminal_failure,failure,12
transport_recovery,placed_to_success,forward,40
transport_recovery,recovery_to_grasped,recovery,20
transport_dual_order,A_done_to_B_done,forward,20
transport_dual_order,A_done_to_success,forward,28
transport_dual_order,B_done_to_A_done,alternative,28
transport_dual_order,B_done_to_dropped,failure,8
transport_dual_order,B_done_to_success,forward,20
transport_dual_order,B_done_to_terminal_failure,forward,8
transport_dual_order,dropped_to_recovery,recovery,8
transport_dual_order,recovery_to_B_done,forward,8
transport_dual_order,start_to_A_done,forward,20
transport_dual_order,start_to_B_done,alternative,36
