controller_id,min_e16,e34,e56,p90,complexity
RC1_OBJECT_COMPENSATED_DIRECT,2,7,4,1.620000000000001,1
RC2_OBJECT_COMPENSATED_STAGED,0,0,0,1.7800000000000011,2
RC3_OBJECT_ERROR_SERVO,0,0,0,2.0000000000000013,3
