epoch,loss
0,3.6329685350259147
1,1.7321375072002412
2,1.3568582663933435
3,1.227942384282748
4,1.3064798285563788
5,1.0085755815108617
6,0.9272923926512401
7,0.8521160980065664
8,0.8431759595870971
9,0.7683662523825964
10,0.9183694243431091
11,0.8123782654603322
12,0.7380482077598571
13,0.7111631433169047
14,0.709973989923795
15,0.7029017532865206
16,0.7226138889789582
17,0.654317352672418
18,0.7616935218373935
19,0.6576529974738757
20,0.6272249047954878
21,0.6264978051185608
22,0.6823367848992348
23,0.6268230458100637
24,0.6732666537165641
25,0.6484868094325066
26,0.6030166943868002
27,0.6829179699222246
28,0.6243847067157428
29,0.5927298213044803
30,0.5881257792313893
31,0.6207315628727277
32,0.5882977286974589
33,0.6164789482951164
34,0.5569622933864593
35,0.6276013553142548
36,0.6162317216396331
37,0.6340584218502044
38,0.5729596932729085
39,0.5699546833833059
40,0.544871894021829
41,0.5915108422438303
42,0.5611602266629537
43,0.5270121370752653
44,0.5589804912606875
45,0.5749924436211586
46,0.5272313773632049
47,0.5169449652234713
48,0.547871208190918
49,0.5022535741329193
