episode_id,family,case_id,truth,score,physical_loss_onset_ns,evidence_end_ns,first_evidence_ns,observation_ns,capture_order,baseline_ready,baseline_prefix_index,visual_available,window_valid,window_reason,window_span_ns,window_points,amplitude,radial_gain,path_length,outward_efficiency,radial_speed_per_s,theta_motion,radial_gain_threshold,outward_efficiency_threshold,blockers,gate_pass
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,800000000,19,True,19,True,True,VALID,500000000,13,0.17717927255323665,-0.30895683322072864,0.9909687908358986,0.0,-0.6179136664414573,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,850000000,20,True,19,True,True,VALID,500000000,12,0.14753616571702682,-0.20110481276600412,0.8490226423737254,0.0,-0.40220962553200823,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,900000000,21,True,19,True,True,VALID,500000000,12,0.14844710950000295,-0.06153873894111861,0.6617582307989864,0.0,-0.12307747788223723,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,950000000,22,True,19,True,True,VALID,500000000,12,0.149398948047471,0.01022056758977663,0.5583548941657415,0.018304787325357924,0.02044113517955326,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1000000000,23,True,19,True,True,VALID,500000000,12,0.149398948047471,-0.0021608075341414956,0.4715145668623425,0.0,-0.004321615068282991,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1050000000,24,True,19,True,True,VALID,500000000,11,0.149398948047471,0.10720801362383114,0.28194268496029024,0.3802475444217703,0.2144160272476623,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1100000000,25,True,19,True,True,VALID,500000000,11,0.149398948047471,0.04246001527705229,0.21452869074575345,0.1979223157958548,0.08492003055410458,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1150000000,26,True,19,True,True,VALID,500000000,11,0.18997839882935266,0.06458527439540859,0.2413545819563348,0.2675949794360779,0.12917054879081719,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1200000000,27,True,19,True,True,VALID,500000000,11,0.16890059420643333,0.0024543906975167396,0.33990366142079764,0.007220842185863442,0.004908781395033479,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1250000000,28,True,19,True,True,VALID,500000000,11,0.2080591420170733,0.034069334958192504,0.37281213213173875,0.09138472711009736,0.06813866991638501,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
