method,policy_seed,family,condition,episode_id,eval_seed,success,truncated,steps,training_steps,smoke_only,observed_losses,restored_losses,invalid_actions,first_valid_order,wait_fraction,checkpoint_sha256
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_0,20130000000,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_1,20130000001,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_2,20130000002,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_3,20130000003,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_4,20130000004,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_5,20130000005,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_6,20130000006,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,FREE_ORDER,P2A_test_2013000_0_7,20130000007,1,0,19,5000,False,0,0,0,B>A,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,A_STARTED,P2A_test_2013000_1_0,20130000100,1,0,18,5000,False,0,0,0,A>B,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,A_STARTED,P2A_test_2013000_1_1,20130000101,1,0,18,5000,False,0,0,0,A>B,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,A_STARTED,P2A_test_2013000_1_2,20130000102,1,0,19,5000,False,0,0,0,A>B,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,A_STARTED,P2A_test_2013000_1_3,20130000103,1,0,18,5000,False,0,0,0,A>B,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,A_STARTED,P2A_test_2013000_1_4,20130000104,1,0,18,5000,False,0,0,0,A>B,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
BC_UNIFORM,101,2013000,A_STARTED,P2A_test_2013000_1_5,20130000105,1,0,18,5000,False,0,0,0,A>B,0.0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974
