method,condition,episodes,success_rate,episodes_with_observed_loss,observed_loss_events,restored_events,restore_given_observed_loss,success_given_loss_exposure,mean_steps,mean_wait_fraction
V6_CAP_POTENTIAL,B_STARTED,640,0.925,0,0,0,,,25.609375,0.010546875
V6_CAP_POTENTIAL,B_VALID_A_LOSS,640,0.9125,640,640,640,1.0,0.9125,19.5359375,0.0005859375
V6_CAP_POTENTIAL,FREE_ORDER,640,0.9125,0,0,0,,,27.1328125,0.0107421875
V6_CAP_POTENTIAL,INVALIDATE_FIRST,640,0.825,0,0,0,,,37.74375,0.0181640625
V6_CAP_POTENTIAL,LATE_LOSS,640,0.9125,640,640,640,1.0,0.9125,31.265625,0.0125
V6_CAP_POTENTIAL,TWO_LOSSES,640,0.8375,640,1280,1280,1.0,0.8375,36.471875,0.0283203125
V6_WEIGHT_SHUFFLED,A_STARTED,640,0.875,0,0,0,,,26.803125,0.0119140625
V6_WEIGHT_SHUFFLED,A_VALID_B_LOSS,640,0.8375,640,640,640,1.0,0.8375,22.1765625,0.0115234375
V6_WEIGHT_SHUFFLED,B_STARTED,640,0.9625,0,0,0,,,24.0703125,0.0126953125
V6_WEIGHT_SHUFFLED,B_VALID_A_LOSS,640,0.9625,640,640,640,1.0,0.9625,16.115625,0.0107421875
V6_WEIGHT_SHUFFLED,FREE_ORDER,640,0.95,0,0,0,,,25.428125,0.0126953125
V6_WEIGHT_SHUFFLED,INVALIDATE_FIRST,640,0.8625,0,0,0,,,37.075,0.030859375
V6_WEIGHT_SHUFFLED,LATE_LOSS,640,0.95,640,640,640,1.0,0.95,29.4890625,0.0201171875
V6_WEIGHT_SHUFFLED,TWO_LOSSES,640,0.828125,640,1280,1280,1.0,0.828125,35.53125,0.068798828125
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,A_STARTED,640,0.85,0,0,0,,,28.525,0.004296875
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,A_VALID_B_LOSS,640,0.7875,640,640,640,1.0,0.7875,24.6671875,0.0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,B_STARTED,640,0.9125,0,0,0,,,26.059375,0.015234375
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,B_VALID_A_LOSS,640,0.925,640,640,640,1.0,0.925,18.7734375,0.0009765625
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,FREE_ORDER,640,0.8875,0,0,0,,,27.784375,0.0126953125
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,INVALIDATE_FIRST,640,0.8375,0,0,0,,,37.615625,0.0177734375
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,LATE_LOSS,640,0.8953125,640,640,640,1.0,0.8953125,31.7375,0.00869140625
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,TWO_LOSSES,640,0.7484375,640,1280,1280,1.0,0.7484375,38.615625,0.030078125
