method,seed,steps,device,checkpoint_hash,initial_state_sha256,trained
BC_UNIFORM,101,5000,cuda:0,5d783e4c4a6d8aa62f87079d5263ade9c242adf04e4a5903b406cf18413c5974,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
BC_UNIFORM,17,5000,cuda:0,248363b53fc38f67c55f473fe1cf67f37ffa842d5f28c20195823757d24f6611,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
BC_UNIFORM,29,5000,cuda:0,ccdda773cfa1a43d515fab47a2626544b2e47657248668dce034915952554a05,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
BC_UNIFORM,43,5000,cuda:0,f17b0ff61d4b0bc0b3df7b72ec704cbe16c931f11c973004aa591b55ec7f7235,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
BC_UNIFORM,71,5000,cuda:0,8e347055f5d763959956464eec7312a3d52feb4018d5a0a1a6031f279a4a9290,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
LINEAR_A_FIRST_R1,101,5000,cuda:0,38f67cbe381403f5584d4241244e9100e4562e35a33f6099242f517a1ad232bc,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
LINEAR_A_FIRST_R1,17,5000,cuda:0,2e47f259ae86de886e8f24b59d4808fc883298914f9822123eb155b24fd25607,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
LINEAR_A_FIRST_R1,29,5000,cuda:0,18e891d35a8fcd913824a62ecef41e9cc5464628be23f06531d2334e3055a1cc,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
LINEAR_A_FIRST_R1,43,5000,cuda:0,535ec0a231e188aa0c108f869d146d00e7b34715ee5442605f77ec254c2d0030,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
LINEAR_A_FIRST_R1,71,5000,cuda:0,ccc7027d784f41f946ed15bc65baa7410875f008c1330fb24f4fd8c8cd6ef91d,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
LINEAR_B_FIRST_R1,101,5000,cuda:0,6ce8715922bb1b208619b38ca1a29c1fc5afaa1710fbacd18fff0f53953ecdf7,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
LINEAR_B_FIRST_R1,17,5000,cuda:0,ff251a37d82f7027b1d721eb20f25efc4c27b10f54c12687ab61a61f2d780a29,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
LINEAR_B_FIRST_R1,29,5000,cuda:0,4d660b053c262a0e6d0cc75bb11193b293b14c1588e2e37b887c4eec1d22b048,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
LINEAR_B_FIRST_R1,43,5000,cuda:0,a8af4be6d857ef881165ba3aa72975b74aa89aadf7d1ac43b344cbd74c939f3c,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
LINEAR_B_FIRST_R1,71,5000,cuda:0,ef35dc624bb81976f336d81cf78ef1a9982ae24fb71560aeaabe9f63c99594f4,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
SPARSE_TERMINAL,101,5000,cuda:0,ec08becd51320fb73a785a3a5cb22c73bf2d41f00c3d9a37a9a3eb87e6ab62ff,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
SPARSE_TERMINAL,17,5000,cuda:0,2d83321bc0d76e1a5002125cb4fc375f2b8fa26ccd7e26f290d747cc38b904d9,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
SPARSE_TERMINAL,29,5000,cuda:0,c53656aae6b26ec06de416d81e38f47d53b44fc76521609ab079815d10403bed,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
SPARSE_TERMINAL,43,5000,cuda:0,1ada0adcdf9958b17d5379513dd398fe9e92ce5c6872dd7ffd7aa7768aff622d,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
SPARSE_TERMINAL,71,5000,cuda:0,dfd5e8892abf3b2f4d319feb577809139c9454ff00345a58cd6fadc04ca00c23,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
UNORDERED_VALID_COUNT,101,5000,cuda:0,7082598b650f272a9ed66ca7ff77188474c61ac72b4fa67be7a87fe3eb300698,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
